pair,receptors,cognate_name,het_code,panel_ligand,molecule_chembl_id,n_complete_before,n_complete_after,n_dual_before,n_dual_after,n_A_only_before,n_A_only_after,n_B_only_before,n_B_only_after,n_neither_before,n_neither_after,D_vs_A_before,D_vs_A_after,D_vs_B_before,D_vs_B_after,summary_min_before,summary_min_after,delta_summary_min_after_minus_before,D_vs_neither_before,D_vs_neither_after,delta_D_vs_neither_after_minus_before
EGFR/HER2,3POZ/3RCD,TAK-285,03P,EH40_01,CHEMBL1614725,110,109,28,27,38,38,32,32,12,12,0.6664,0.6637,0.4297,0.4167,0.4297,0.4167,-0.0130,0.7560,0.7531,-0.0029
PIK3CA/mTOR,4L23/4JT6,PI-103,X6K,PM48_01,CHEMBL573339,48,47,18,17,14,14,12,12,4,4,0.7143,0.7017,0.6921,0.6740,0.6921,0.6740,-0.0181,0.5139,0.5000,-0.0139
