pair,ligand,molecule_chembl_id,frozen_class,group_id,n_documents,documents
EGFR/HER2,EH40_01,CHEMBL1614725,dual,G001,6,CHEMBL1921673;CHEMBL2321748;CHEMBL2346616;CHEMBL3632549;CHEMBL3991601;CHEMBL4665812
EGFR/HER2,EH40_02,CHEMBL554,dual,G001,41,CHEMBL1140899;CHEMBL1144455;CHEMBL1146682;CHEMBL1149340;CHEMBL1150977;CHEMBL1154692;CHEMBL1156213;CHEMBL1157563;CHEMBL1201862;CHEMBL1255185;CHEMBL1629443;CHEMBL1908390;CHEMBL1926681;CHEMBL3098113;CHEMBL3352165;CHEMBL3414443;CHEMBL3745647;CHEMBL3853296;CHEMBL3870325;CHEMBL3881529;CHEMBL3991601;CHEMBL4270595;CHEMBL4321790;CHEMBL4325914;CHEMBL4387720;CHEMBL4393671;CHEMBL4627322;CHEMBL4665812;CHEMBL4715878;CHEMBL4765304;CHEMBL4808203;CHEMBL5030535;CHEMBL5214889;CHEMBL5360595;CHEMBL5444388;CHEMBL5445981;CHEMBL5446079;CHEMBL5465560;CHEMBL5543120;CHEMBL5647683;CHEMBL5727419
EGFR/HER2,EH40_03,CHEMBL5977738,dual,G002,1,CHEMBL5729445
EGFR/HER2,EH40_04,CHEMBL2006715,dual,G001,1,CHEMBL1201862
EGFR/HER2,EH40_05,CHEMBL483321,dual,G001,8,CHEMBL1150417;CHEMBL1150977;CHEMBL3991601;CHEMBL5444388;CHEMBL5445981;CHEMBL5446079;CHEMBL5465560;CHEMBL5661975
EGFR/HER2,EH40_06,CHEMBL3911796,dual,G001,1,CHEMBL3870325
EGFR/HER2,EH40_07,CHEMBL257816,dual,G003,1,CHEMBL1145585
EGFR/HER2,EH40_08,CHEMBL193681,dual,G004,1,CHEMBL1140398
EGFR/HER2,EH40_09,CHEMBL175556,dual,G001,1,CHEMBL1142663
EGFR/HER2,EH40_10,CHEMBL604094,dual,G001,2,CHEMBL1157563;CHEMBL3881527
EGFR/HER2,EH40_11,CHEMBL3977326,dual,G005,1,CHEMBL3853319
EGFR/HER2,EH40_12,CHEMBL402011,dual,G006,1,CHEMBL1141539
EGFR/HER2,EH40_13,CHEMBL3680374,dual,G007,1,CHEMBL3639119
EGFR/HER2,EH40_14,CHEMBL5204650,dual,G008,1,CHEMBL5108025
EGFR/HER2,EH40_15,CHEMBL1645469,dual,G009,1,CHEMBL1641446
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,G010,1,CHEMBL2321654
EGFR/HER2,EH40_17,CHEMBL91925,A_only,G011,1,CHEMBL1134561
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,G001,1,CHEMBL1201862
EGFR/HER2,EH40_19,CHEMBL589560,A_only,G012,1,CHEMBL1157668
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,G013,1,CHEMBL3351667
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,G011,1,CHEMBL1134561
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,G014,1,CHEMBL1154343
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,G001,1,CHEMBL3632549
EGFR/HER2,EH40_24,CHEMBL602328,A_only,G015,1,CHEMBL1157666
EGFR/HER2,EH40_25,CHEMBL289959,A_only,G001,2,CHEMBL1128536;CHEMBL1201862
EGFR/HER2,EH40_26,CHEMBL371863,A_only,G004,1,CHEMBL1140398
EGFR/HER2,EH40_27,CHEMBL428690,A_only,G001,5,CHEMBL1133502;CHEMBL1135763;CHEMBL1150977;CHEMBL1908390;CHEMBL4368927
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,G014,1,CHEMBL1154343
EGFR/HER2,EH40_30,CHEMBL565612,B_only,G001,1,CHEMBL1201862
EGFR/HER2,EH40_31,CHEMBL257873,B_only,G016,1,CHEMBL1143160
EGFR/HER2,EH40_32,CHEMBL394463,B_only,G017,1,CHEMBL1139130
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,G018,1,CHEMBL3813636
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,G019,1,CHEMBL2046372
EGFR/HER2,EH40_35,CHEMBL449949,B_only,G020,1,CHEMBL1153281
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH40_38,CHEMBL2005631,neither,G001,1,CHEMBL1201862
EGFR/HER2,EH40_39,CHEMBL1683950,neither,G021,1,CHEMBL1681756
EGFR/HER2,EH40_40,CHEMBL141175,neither,G022,1,CHEMBL1136802
EGFR/HER2,EH120_041,CHEMBL941,dual,G001,2,CHEMBL1150977;CHEMBL5214926
EGFR/HER2,EH120_042,CHEMBL5221067,dual,G001,1,CHEMBL5214926
EGFR/HER2,EH120_043,CHEMBL5881155,dual,G002,1,CHEMBL5729445
EGFR/HER2,EH120_044,CHEMBL203599,dual,G023,1,CHEMBL1138126
EGFR/HER2,EH120_045,CHEMBL1873475,dual,G001,29,CHEMBL1914368;CHEMBL3886356;CHEMBL3991601;CHEMBL4038351;CHEMBL4184325;CHEMBL4346659;CHEMBL4354855;CHEMBL4382291;CHEMBL4387758;CHEMBL4414549;CHEMBL4480410;CHEMBL4616583;CHEMBL4665670;CHEMBL4715884;CHEMBL4725253;CHEMBL4765318;CHEMBL4840351;CHEMBL5042540;CHEMBL5131445;CHEMBL5131516;CHEMBL5143580;CHEMBL5247657;CHEMBL5352457;CHEMBL5506072;CHEMBL5576142;CHEMBL5705904;CHEMBL5725787;CHEMBL5728280;CHEMBL6083185
EGFR/HER2,EH120_046,CHEMBL5282641,dual,G024,1,CHEMBL5252585
EGFR/HER2,EH120_047,CHEMBL180022,dual,G001,20,CHEMBL1139297;CHEMBL1142663;CHEMBL1147965;CHEMBL1149823;CHEMBL1908390;CHEMBL1944545;CHEMBL2321748;CHEMBL2384937;CHEMBL3991601;CHEMBL4387720;CHEMBL4665812;CHEMBL4834452;CHEMBL5131516;CHEMBL5154811;CHEMBL5532668;CHEMBL5543120;CHEMBL5625197;CHEMBL5728076;CHEMBL6092145;CHEMBL6092226
EGFR/HER2,EH120_048,CHEMBL203644,dual,G023,1,CHEMBL1138126
EGFR/HER2,EH120_049,CHEMBL437890,dual,G023,1,CHEMBL1138126
EGFR/HER2,EH120_050,CHEMBL5176920,dual,G001,1,CHEMBL5154811
EGFR/HER2,EH120_051,CHEMBL54091,dual,G025,1,CHEMBL1132213
EGFR/HER2,EH120_052,CHEMBL203661,dual,G023,1,CHEMBL1138126
EGFR/HER2,EH120_053,CHEMBL4075917,dual,G026,1,CHEMBL4017490
EGFR/HER2,EH120_054,CHEMBL29197,A_only,G001,15,CHEMBL1128536;CHEMBL1129072;CHEMBL1129291;CHEMBL1130217;CHEMBL1137325;CHEMBL1145020;CHEMBL1147965;CHEMBL1150356;CHEMBL1155111;CHEMBL1250424;CHEMBL1759979;CHEMBL4229346;CHEMBL4229349;CHEMBL4342409;CHEMBL6092145
EGFR/HER2,EH120_055,CHEMBL93464,A_only,G011,2,CHEMBL1134561;CHEMBL1134843
EGFR/HER2,EH120_056,CHEMBL4078431,A_only,G027,1,CHEMBL3992535
EGFR/HER2,EH120_057,CHEMBL53753,A_only,G028,2,CHEMBL1129564;CHEMBL1131301
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,G013,1,CHEMBL3351667
EGFR/HER2,EH120_059,CHEMBL305194,A_only,G029,1,CHEMBL1134862
EGFR/HER2,EH120_060,CHEMBL24828,A_only,G001,16,CHEMBL1135689;CHEMBL1135889;CHEMBL1144455;CHEMBL1147965;CHEMBL1150977;CHEMBL1908390;CHEMBL3217416;CHEMBL3297684;CHEMBL3877259;CHEMBL3991601;CHEMBL4359867;CHEMBL4385653;CHEMBL4396901;CHEMBL4813920;CHEMBL5625175;CHEMBL5715952
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,G030,1,CHEMBL4270530
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,G030,1,CHEMBL4270530
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,G031,2,CHEMBL3882729;CHEMBL5726547
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,G032,1,CHEMBL5252533
EGFR/HER2,EH120_065,CHEMBL281300,A_only,G001,2,CHEMBL1145020;CHEMBL1147619
EGFR/HER2,EH120_066,CHEMBL288441,A_only,G001,3,CHEMBL1134270;CHEMBL1240341;CHEMBL1908390
EGFR/HER2,EH120_067,CHEMBL56543,A_only,G022,3,CHEMBL1125266;CHEMBL1134331;CHEMBL1136802
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,G027,1,CHEMBL3992535
EGFR/HER2,EH120_069,CHEMBL30973,A_only,G001,2,CHEMBL1145020;CHEMBL1147619
EGFR/HER2,EH120_070,CHEMBL55979,A_only,G022,1,CHEMBL1125266
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,G001,1,CHEMBL3886356
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,G030,1,CHEMBL4270530
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,G033,1,CHEMBL3112407
EGFR/HER2,EH120_074,CHEMBL205652,A_only,G021,2,CHEMBL1147004;CHEMBL1681756
EGFR/HER2,EH120_075,CHEMBL372112,A_only,G004,1,CHEMBL1140398
EGFR/HER2,EH120_076,CHEMBL56731,A_only,G022,1,CHEMBL1125266
EGFR/HER2,EH120_077,CHEMBL10,A_only,G001,6,CHEMBL1132637;CHEMBL1144455;CHEMBL1150977;CHEMBL1908390;CHEMBL1909046;CHEMBL6083249
EGFR/HER2,EH120_078,CHEMBL179633,A_only,G001,1,CHEMBL1142663
EGFR/HER2,EH120_079,CHEMBL370934,A_only,G004,1,CHEMBL1140398
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,G014,1,CHEMBL1154343
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,G001,1,CHEMBL6083185
EGFR/HER2,EH120_082,CHEMBL257478,B_only,G034,1,CHEMBL1141561
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,G001,1,CHEMBL6083185
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,G001,1,CHEMBL1255185
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,G001,1,CHEMBL1255185
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,G014,1,CHEMBL1154343
EGFR/HER2,EH120_090,CHEMBL403785,B_only,G035,1,CHEMBL1140495
EGFR/HER2,EH120_091,CHEMBL193578,B_only,G036,1,CHEMBL1141048
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,G001,1,CHEMBL5728076
EGFR/HER2,EH120_094,CHEMBL118109,B_only,G022,2,CHEMBL1126897;CHEMBL1136802
EGFR/HER2,EH120_095,CHEMBL256362,B_only,G034,1,CHEMBL1141561
EGFR/HER2,EH120_096,CHEMBL5561933,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH120_097,CHEMBL194337,B_only,G036,1,CHEMBL1141048
EGFR/HER2,EH120_098,CHEMBL5557178,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH120_099,CHEMBL1080272,B_only,G014,1,CHEMBL1154343
EGFR/HER2,EH120_100,CHEMBL5561503,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH120_101,CHEMBL5558817,B_only,G001,1,CHEMBL5506072
EGFR/HER2,EH120_102,CHEMBL104,neither,G001,1,CHEMBL1909046
EGFR/HER2,EH120_103,CHEMBL4087921,neither,G037,1,CHEMBL3994595
EGFR/HER2,EH120_104,CHEMBL4102214,neither,G037,1,CHEMBL3994595
EGFR/HER2,EH120_105,CHEMBL4102942,neither,G037,1,CHEMBL3994595
EGFR/HER2,EH120_106,CHEMBL4074782,neither,G037,1,CHEMBL3994595
EGFR/HER2,EH120_107,CHEMBL1095259,neither,G038,1,CHEMBL5241122
EGFR/HER2,EH120_108,CHEMBL4575427,neither,G038,1,CHEMBL5241122
EGFR/HER2,EH120_109,CHEMBL589165,neither,G015,1,CHEMBL1157666
EGFR/HER2,EH120_110,CHEMBL589503,neither,G039,1,CHEMBL1157716
AChE/BChE,AB_002,CHEMBL4464883,dual,G001,1,CHEMBL4354814
AChE/BChE,AB_003,CHEMBL309667,dual,G002,1,CHEMBL1131001
AChE/BChE,AB_004,CHEMBL3216777,dual,G003,1,CHEMBL2010698
AChE/BChE,AB_005,CHEMBL3326699,dual,G004,1,CHEMBL3352817
AChE/BChE,AB_006,CHEMBL557405,dual,G005,1,CHEMBL1134674
AChE/BChE,AB_007,CHEMBL374981,dual,G006,1,CHEMBL1138205
AChE/BChE,AB_008,CHEMBL189906,dual,G007,1,CHEMBL1137822
AChE/BChE,AB_009,CHEMBL6151573,dual,G008,1,CHEMBL6092125
