pair,n_bindingdb_both_equal_mixed,mixed_dual,mixed_A_only,mixed_B_only,mixed_neither,n_inchikey_parse_fail,n_unichem_fail,unichem_status,n_structure_in_scored_panel,n_structure_in_chembl_map,n_pmid_overlap_panel_docs,frac_pmid_overlap,frac_structure_in_chembl_map,pubmed_lookup_status,panel_indep_dual,panel_indep_A_only,panel_indep_B_only,panel_indep_neither,gate_panel_structure,struct_indep_dual,struct_indep_A_only,struct_indep_B_only,struct_indep_neither,indep_dual,indep_A_only,indep_B_only,indep_neither,ic50_only_indep_dual,ic50_only_indep_A_only,ic50_only_indep_B_only,gate_independent,packaged_as_external_validation,note
EGFR/HER2,2269,1621,186,92,370,0,0,unichem_skipped_bulk,96,0,411,0.1811,0.0,chembl_document_api_unavailable,1589,161,62,361,supply_enough_to_dock,0,0,0,0,0,0,0,0,0,0,0,unevaluable,0,no docking; literature+ChEMBL-map independence requires UniChem and ChEMBL document APIs; unichem=unichem_skipped_bulk; pubmed=chembl_document_api_unavailable
AChE/BChE,2711,988,467,253,1003,0,0,unichem_skipped_bulk,76,0,211,0.0778,0.0,chembl_document_api_unavailable,966,450,230,989,supply_enough_to_dock,0,0,0,0,0,0,0,0,0,0,0,unevaluable,0,no docking; literature+ChEMBL-map independence requires UniChem and ChEMBL document APIs; unichem=unichem_skipped_bulk; pubmed=chembl_document_api_unavailable
PIK3CA/PIK3CB,2545,1371,286,283,605,0,0,unichem_skipped_bulk,90,0,3,0.0012,0.0,chembl_document_api_unavailable,1341,261,257,596,supply_enough_to_dock,0,0,0,0,0,0,0,0,0,0,0,unevaluable,0,no docking; literature+ChEMBL-map independence requires UniChem and ChEMBL document APIs; unichem=unichem_skipped_bulk; pubmed=chembl_document_api_unavailable
PIK3CA/mTOR,2739,2027,251,279,182,1,0,unichem_skipped_bulk,44,0,39,0.0142,0.0,chembl_document_api_unavailable,2008,238,266,182,supply_enough_to_dock,0,0,0,0,0,0,0,0,0,0,0,unevaluable,0,no docking; literature+ChEMBL-map independence requires UniChem and ChEMBL document APIs; unichem=unichem_skipped_bulk; pubmed=chembl_document_api_unavailable
