pair,n_dual,n_A_only,n_B_only,auroc_D_vs_A,auroc_D_vs_B,summary_min,summary_mean,summary_harmonic,dual_vs_neither_vina_mean,n_neither,neither_underpowered,gap_neither_minus_min,gap_neither_minus_mean,gap_neither_minus_harmonic,note,rank_min,rank_mean,rank_harmonic,ranking_unchanged
EGFR/HER2,28,38,32,0.6664,0.4297,0.4297,0.5481,0.5225,0.756,12,0,0.3263,0.2079,0.2335,primary remains summary_min; mean/harmonic are sensitivity only; Dual-vs-neither uses a different negative set and is not a paired Δ,4,4,4,1
AChE/BChE,27,25,28,0.6504,0.6058,0.6058,0.6281,0.6273,0.6494,15,0,0.0436,0.0213,0.0221,primary remains summary_min; mean/harmonic are sensitivity only; Dual-vs-neither uses a different negative set and is not a paired Δ,2,2,2,1
PIK3CA/PIK3CB,28,27,28,0.6905,0.5,0.5,0.5953,0.58,0.5592,16,0,0.0592,-0.0361,-0.0208,primary remains summary_min; mean/harmonic are sensitivity only; Dual-vs-neither uses a different negative set and is not a paired Δ,3,3,3,1
PIK3CA/mTOR,18,14,12,0.7143,0.6921,0.6921,0.7032,0.703,0.5139,4,1,-0.1782,-0.1893,-0.1891,primary remains summary_min; mean/harmonic are sensitivity only; Dual-vs-neither uses a different negative set and is not a paired Δ,1,1,1,1
