pair,contrast,score,auroc_dual_vs_selective,auroc_dual_vs_neither,delta_neither_minus_selective,delta_ci_lo,delta_ci_hi,n_dual,n_selective,n_neither,bootstrap,B,seed,ci_excludes_zero,underpowered_neither,note
EGFR/HER2,D_vs_B_or_neither_pocketA,vina_A,0.3237,0.7857,0.4621,0.2596,0.6406,28,32,12,class_stratified_shared_dual,2000,20260729,1,0,scheme-B class-stratified shared dual; results/canonical
EGFR/HER2,D_vs_A_or_neither_pocketB,vina_B,0.6564,0.7381,0.0817,-0.1166,0.2678,28,37,12,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
JAK1/JAK2,D_vs_B_or_neither_pocketA,vina_A,0.7275,0.7232,-0.0043,-0.1755,0.1665,32,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
JAK1/JAK2,D_vs_A_or_neither_pocketB,vina_B,0.5884,0.7299,0.1415,-0.0643,0.3358,32,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
JAK1/TYK2,D_vs_B_or_neither_pocketA,vina_A,0.3649,0.8088,0.4438,0.2605,0.6299,31,32,14,class_stratified_shared_dual,2000,20260729,1,0,scheme-B class-stratified shared dual; results/canonical
JAK1/TYK2,D_vs_A_or_neither_pocketB,vina_B,0.5751,0.7051,0.1300,-0.0367,0.2953,31,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
PIK3CA/mTOR,D_vs_B_or_neither_pocketA,vina_A,0.6921,0.4722,-0.2199,-0.5046,0.0324,18,12,4,class_stratified_shared_dual,2000,20260729,0,1,scheme-B class-stratified shared dual; results/canonical
PIK3CA/mTOR,D_vs_A_or_neither_pocketB,vina_B,0.7143,0.5833,-0.1310,-0.4723,0.1747,18,14,4,class_stratified_shared_dual,2000,20260729,0,1,scheme-B class-stratified shared dual; results/canonical
AChE/BChE,D_vs_B_or_neither_pocketA,vina_A,0.6058,0.6058,0.0000,-0.1296,0.1376,27,28,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
AChE/BChE,D_vs_A_or_neither_pocketB,vina_B,0.6524,0.7169,0.0645,-0.0908,0.2108,27,26,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
F2/F10,D_vs_B_or_neither_pocketA,vina_A,0.3448,0.5081,0.1633,-0.0017,0.3358,31,32,12,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
F2/F10,D_vs_A_or_neither_pocketB,vina_B,0.4133,0.5282,0.1149,-0.0208,0.2621,31,32,12,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
PPARG/PPARA,D_vs_B_or_neither_pocketA,vina_A,0.7061,0.7589,0.0529,-0.1345,0.2241,32,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
PPARG/PPARA,D_vs_A_or_neither_pocketB,vina_B,0.6492,0.6440,-0.0052,-0.2185,0.1958,32,31,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
PPARA/PPARD,D_vs_B_or_neither_pocketA,vina_A,0.4463,0.4844,0.0381,-0.1391,0.2234,32,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
PPARA/PPARD,D_vs_A_or_neither_pocketB,vina_B,0.6465,0.6652,0.0187,-0.1715,0.2026,32,32,14,class_stratified_shared_dual,2000,20260729,0,0,scheme-B class-stratified shared dual; results/canonical
