pair,class,n_ligands,n_retained_activity_records,n_unique_documents,top_document,top_document_record_fraction,top_document_ligand_fraction,note
EGFR/HER2,dual,28,335,102,CHEMBL5444388,0.1343,0.0714,current high-confidence retained records; descriptive source concentration
EGFR/HER2,A_only,38,185,65,CHEMBL1908390,0.1405,0.1053,current high-confidence retained records; descriptive source concentration
EGFR/HER2,B_only,32,74,16,CHEMBL5728076,0.1622,0.1875,current high-confidence retained records; descriptive source concentration
EGFR/HER2,neither,12,28,8,CHEMBL3994595,0.4286,0.3333,current high-confidence retained records; descriptive source concentration
AChE/BChE,dual,27,129,77,CHEMBL4190343,0.0465,0.0741,current high-confidence retained records; descriptive source concentration
AChE/BChE,A_only,25,58,20,CHEMBL1157624,0.1207,0.12,current high-confidence retained records; descriptive source concentration
AChE/BChE,B_only,28,64,20,CHEMBL5154805,0.125,0.1071,current high-confidence retained records; descriptive source concentration
AChE/BChE,neither,15,31,12,CHEMBL4680246,0.1935,0.2,current high-confidence retained records; descriptive source concentration
PIK3CA/PIK3CB,dual,28,84,25,CHEMBL3797054,0.119,0.0714,current high-confidence retained records; descriptive source concentration
PIK3CA/PIK3CB,A_only,27,66,20,CHEMBL3608239,0.1364,0.1852,current high-confidence retained records; descriptive source concentration
PIK3CA/PIK3CB,B_only,28,75,15,CHEMBL2062364,0.16,0.1429,current high-confidence retained records; descriptive source concentration
PIK3CA/PIK3CB,neither,16,32,11,CHEMBL1240340,0.3125,0.3125,current high-confidence retained records; descriptive source concentration
PIK3CA/mTOR,dual,18,264,118,CHEMBL4017506,0.0833,0.2778,current high-confidence retained records; descriptive source concentration
PIK3CA/mTOR,A_only,14,59,30,CHEMBL3638541,0.1186,0.2857,current high-confidence retained records; descriptive source concentration
PIK3CA/mTOR,B_only,12,58,19,CHEMBL5444388,0.2931,0.0833,current high-confidence retained records; descriptive source concentration
PIK3CA/mTOR,neither,4,8,1,CHEMBL1240340,1.0,1.0,current high-confidence retained records; descriptive source concentration
