molecule_chembl_id,target_chembl_id,assay_chembl_id,document_chembl_id,pchembl_value,standard_type,standard_relation,assay_type,assay_organism,confidence_score,keep,exclusion_reasons
CHEMBL1257998,CHEMBL1824,CHEMBL1260611,CHEMBL1255185,6.47,IC50,=,B,Homo sapiens,9,1,
CHEMBL1256432,CHEMBL1824,CHEMBL1260611,CHEMBL1255185,6.44,IC50,=,B,Homo sapiens,9,1,
CHEMBL1645469,CHEMBL1824,CHEMBL1647392,CHEMBL1641446,7.7,IC50,=,B,,8,1,
CHEMBL205652,CHEMBL1824,CHEMBL1686142,CHEMBL1681756,4.6,IC50,=,B,,8,1,
CHEMBL1683950,CHEMBL1824,CHEMBL1686142,CHEMBL1681756,5.2,IC50,=,B,,8,1,
CHEMBL24828,CHEMBL1824,CHEMBL1908501,CHEMBL1908390,5.58,Kd,=,B,,8,0,potential_duplicate
CHEMBL10,CHEMBL1824,CHEMBL1908501,CHEMBL1908390,,Kd,>,B,,8,0,missing_pchembl;relation_not_equal;potential_duplicate
CHEMBL288441,CHEMBL1824,CHEMBL1908501,CHEMBL1908390,5.6,Kd,=,B,,8,1,
CHEMBL180022,CHEMBL1824,CHEMBL1908501,CHEMBL1908390,8.22,Kd,=,B,,8,1,
CHEMBL104,CHEMBL1824,CHEMBL1909205,CHEMBL1909046,4.18,IC50,=,B,,8,1,
CHEMBL104,CHEMBL1824,CHEMBL1909205,CHEMBL1909046,,Ki,,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL10,CHEMBL1824,CHEMBL1909205,CHEMBL1909046,4.72,IC50,=,B,,8,1,
CHEMBL10,CHEMBL1824,CHEMBL1909205,CHEMBL1909046,,Ki,,B,,8,0,missing_pchembl;relation_not_equal
CHEMBL1614725,CHEMBL1824,CHEMBL1924800,CHEMBL1921673,7.77,IC50,=,B,Homo sapiens,9,1,
CHEMBL289959,CHEMBL1824,CHEMBL1963780,CHEMBL1201862,5.3,Ki,=,F,,8,1,
CHEMBL2000832,CHEMBL1824,CHEMBL1963780,CHEMBL1201862,5.9,Ki,=,F,,8,1,
CHEMBL2006715,CHEMBL1824,CHEMBL1963780,CHEMBL1201862,8.4,Ki,=,F,,8,1,
CHEMBL10,CHEMBL1824,CHEMBL1963780,CHEMBL1201862,,Ki,>,F,,8,0,missing_pchembl;relation_not_equal
CHEMBL2005631,CHEMBL1824,CHEMBL1963780,CHEMBL1201862,5.9,Ki,=,F,,8,1,
CHEMBL2048792,CHEMBL1824,CHEMBL2050650,CHEMBL2046372,,Inhibition,,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal;endpoint_not_allowed
CHEMBL2048792,CHEMBL1824,CHEMBL2050648,CHEMBL2046372,6.89,IC50,=,B,Homo sapiens,9,1,
CHEMBL2325101,CHEMBL1824,CHEMBL2327214,CHEMBL2321654,5.99,IC50,=,B,Homo sapiens,9,1,
