molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold
CHEMBL3692047,,Cc1nn(Cc2c(Cl)cccc2C2CC2)c2cc(-c3nnn[nH]3)cnc12,7.26,1,c1ccc(C2CC2)c(Cn2ncc3ncc(-c4nnn[nH]4)cc32)c1
CHEMBL3692057,,Cc1nn(Cc2c(Cl)cccc2C2CC2)c2cc(CCC(=O)O)ccc12,7.77,1,c1ccc(C2CC2)c(Cn2ncc3ccccc32)c1
CHEMBL3692043,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(-c3nnn[nH]3)cnc12,6.36,1,c1ccc(Cn2ncc3ncc(-c4nnn[nH]4)cc32)cc1
CHEMBL3692022,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(=O)CCC(=O)O)ccc12,7.17,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692015,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(=O)O)ccc12,7.19,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692042,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(=O)O)cnc12,6.44,1,c1ccc(Cn2ncc3ncccc32)cc1
CHEMBL3692012,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(C)(C)C(=O)O)ccc12,7.01,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692011,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(C)C(=O)O)ccc12,7.12,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692056,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(F)(F)C(=O)O)ccc12,7.82,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692021,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(C(O)C(=O)O)ccc12,6.24,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692003,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CC(=O)O)ccc12,7.75,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692018,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCC(=O)O)ccc12,8.0,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692023,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCC(N)=O)ccc12,6.73,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692024,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCCC(=O)O)ccc12,7.8,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692026,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCc3nnn[nH]3)ccc12,7.64,1,c1ccc(Cn2ncc3ccc(CCc4nnn[nH]4)cc32)cc1
CHEMBL3692030,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CS(=O)(=O)O)ccc12,6.18,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692027,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(Cc3n[nH]c(=O)o3)ccc12,7.47,1,O=c1[nH]nc(Cc2ccc3cnn(Cc4ccccc4)c3c2)o1
CHEMBL3692028,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(Cc3n[nH]c(=S)o3)ccc12,8.0,1,S=c1[nH]nc(Cc2ccc3cnn(Cc4ccccc4)c3c2)o1
CHEMBL3692025,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(Cc3nnn[nH]3)ccc12,7.89,1,c1ccc(Cn2ncc3ccc(Cc4nnn[nH]4)cc32)cc1
CHEMBL3692029,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(OCC(=O)O)ccc12,6.04,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL5790044,,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(SC(C)(C)C(=O)O)ccc12,6.92,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692041,,Cc1nn(Cc2c(Cl)cccc2Cl)c2nc(Cc3nnn[nH]3)ccc12,6.74,1,c1ccc(Cn2ncc3ccc(Cc4nnn[nH]4)nc32)cc1
CHEMBL3692006,,Cc1nn(Cc2c(F)cccc2Cl)c2cc(CC(=O)O)ccc12,7.0,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692044,,Cc1nn(Cc2cccc(Cl)c2Cl)c2cc(-c3nnn[nH]3)cnc12,6.54,1,c1ccc(Cn2ncc3ncc(-c4nnn[nH]4)cc32)cc1
CHEMBL3692016,,Cc1nn(Cc2cccc(Cl)c2Cl)c2cc(C(=O)O)ccc12,7.04,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692004,,Cc1nn(Cc2cccc(Cl)c2Cl)c2cc(CC(=O)O)ccc12,7.39,1,c1ccc(Cn2ncc3ccccc32)cc1
CHEMBL3692008,,Cc1nn(Cc2cccc3ccccc23)c2cc(CC(=O)O)ccc12,7.11,1,c1ccc2c(Cn3ncc4ccccc43)cccc2c1
CHEMBL3692013,,Cc1nn(Cc2cccc3cccnc23)c2cc(CC(=O)O)ccc12,6.41,1,c1cnc2c(Cn3ncc4ccccc43)cccc2c1
CHEMBL3692007,,Cc1nn(Cc2csc3ccc(Cl)cc23)c2cc(CC(=O)O)ccc12,7.26,1,c1ccc2c(c1)cnn2Cc1csc2ccccc12
CHEMBL3692019,,Cc1nn(Cc2csc3ccc(Cl)cc23)c2cc(CCC(=O)O)ccc12,7.51,1,c1ccc2c(c1)cnn2Cc1csc2ccccc12
CHEMBL5808547,,Cc1nsc2c(-c3ccc(C#N)cc3)c(SC3(C(=O)O)CCC3)ccc12,5.61,1,c1ccc(-c2c(SC3CCC3)ccc3cnsc23)cc1
CHEMBL3692053,,Clc1cccc(Cl)c1Cn1nc(Cl)c2ncc(-c3nnn[nH]3)cc21,6.79,1,c1ccc(Cn2ncc3ncc(-c4nnn[nH]4)cc32)cc1
CHEMBL5761087,,Cn1c(C(F)(F)F)cc2c(-c3ccc(C(=O)O)c(O)c3)cc(C#N)cc21,6.63,1,c1ccc(-c2cccc3[nH]ccc23)cc1
CHEMBL3921527,,Cn1ccc(NS(=O)(=O)c2ccc(Oc3ccc(C#N)c(Cl)c3)c(C#N)c2)n1,5.47,1,O=S(=O)(Nc1cc[nH]n1)c1ccc(Oc2ccccc2)cc1
CHEMBL3746798,,N#CCCc1ccc2nccc(SC3(C(=O)O)CCC3)c2c1,5.56,1,c1ccc2c(SC3CCC3)ccnc2c1
CHEMBL3746317,,N#CCOc1ccc2nccc(SC3(C(=O)O)CCC3)c2c1,6.17,2,c1ccc2c(SC3CCC3)ccnc2c1
CHEMBL5414132,,N#Cc1c(Cl)cc(NS(=O)(=O)c2ccccc2OC(F)(F)F)cc1Cl,8.4,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3978281,,N#Cc1c(Cl)cccc1NS(=O)(=O)c1ccccc1C(F)(F)F,7.64,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL5598490,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2[nH]ccc2c1,5.54,2,c1ccc(-c2cccc3cc[nH]c23)cc1
CHEMBL5894513,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2cc(C(F)(F)F)oc2c1,7.17,1,c1ccc(-c2cccc3occc23)cc1
CHEMBL5885206,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2cc(Cl)oc2c1,7.85,1,c1ccc(-c2cccc3occc23)cc1
CHEMBL5868375,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2cc(Cl)sc2c1,7.04,1,c1ccc(-c2cccc3sccc23)cc1
CHEMBL5775400,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2cc(F)oc2c1,7.47,1,c1ccc(-c2cccc3occc23)cc1
CHEMBL5860948,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2cc(F)sc2c1,7.82,1,c1ccc(-c2cccc3sccc23)cc1
CHEMBL5993875,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2ccccc2c1,7.72,1,c1ccc(-c2cccc3ccccc23)cc1
CHEMBL5597164,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2ccoc2c1,6.76,2,c1ccc(-c2cccc3occc23)cc1
CHEMBL5598112,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2ccsc2c1,7.35,2,c1ccc(-c2cccc3sccc23)cc1
CHEMBL5979764,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2nccn2c1,6.75,1,c1ccc(-c2cccn3ccnc23)cc1
CHEMBL5965506,,N#Cc1cc(-c2ccc(C(=O)O)c(O)c2)c2ncoc2c1,6.57,1,c1ccc(-c2cccc3ocnc23)cc1
