repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_00496,CHEMBL1485,ARGININE,N=C(N)NCCC[C@H](N)C(=O)O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,174.2,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,,870
REP_00497,CHEMBL1499,CORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,360.45,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,871
REP_00498,CHEMBL1512580,XALIPRODEN,FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1,WJJYZXPHLSLMGE-UHFFFAOYSA-N,381.44,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,C1=C(c2ccccc2)CCN(CCc2ccc3ccccc3c2)C1,872
REP_00499,CHEMBL1512949,FENOVERINE,O=C(CN1CCN(Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21,UBAJTZKNDCEGKL-UHFFFAOYSA-N,459.57,3.0,,True,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(CN1CCN(Cc2ccc3c(c2)OCO3)CC1)N1c2ccccc2Sc2ccccc21,873
REP_00500,CHEMBL151445,DROPROPIZINE,OCC(O)CN1CCN(c2ccccc2)CC1,PTVWPYVOOKLBCG-UHFFFAOYSA-N,236.32,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(N2CCNCC2)cc1,874
REP_00501,CHEMBL1516,OLMESARTAN,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,VTRAEEWXHOVJFV-UHFFFAOYSA-N,446.51,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3ccnc3)cc2)c1,875
REP_00502,CHEMBL1520188,CLODRONATE DISODIUM,O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O,ACSIXWWBWUQEHA-UHFFFAOYSA-L,242.88,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,,876
REP_00503,CHEMBL15245,YOHIMBINE,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,BLGXFZZNTVWLAY-SCYLSFHTSA-N,354.45,3.0,,True,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,877
REP_00504,CHEMBL1527608,DOXOFYLLINE,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,HWXIGFIVGWUZAO-UHFFFAOYSA-N,266.26,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=c1[nH]c(=O)c2c(ncn2CC2OCCO2)[nH]1,878
REP_00505,CHEMBL1531134,MELPERONE,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,DKMFBWQBDIGMHM-UHFFFAOYSA-N,263.36,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(CCCN1CCCCC1)c1ccccc1,879
REP_00506,CHEMBL153479,AMBROXOL,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,JBDGDEWWOUBZPM-XYPYZODXSA-N,378.11,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(CNC2CCCCC2)cc1,880
REP_00339,CHEMBL635,PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,358.43,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,881
REP_00493,CHEMBL145,CAFFEIC ACID,O=C(O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,180.16,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccccc1,882
REP_00566,CHEMBL1879463,DACTOLISIB,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,469.55,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=c1[nH]c2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccccc1,883
REP_00567,CHEMBL1880349,2-DEOXY-D-GLUCOSE,OCC1OC(O)CC(O)C1O,PMMURAAUARKVCB-UHFFFAOYSA-N,164.16,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,C1CCOCC1,884
REP_00318,CHEMBL521,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,206.28,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccccc1,885
REP_00569,CHEMBL18901,EFAPROXIRAL,Cc1cc(C)cc(NC(=O)Cc2ccc(OC(C)(C)C(=O)O)cc2)c1,BNFRJXLZYUTIII-UHFFFAOYSA-N,341.41,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(Cc1ccccc1)Nc1ccccc1,886
REP_00570,CHEMBL189475,LADARIXIN,C[C@@H](C(=O)NS(C)(=O)=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,DDLPYOCJHQSVSZ-SSDOTTSWSA-N,375.35,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccccc1,887
REP_00571,CHEMBL190044,TRIMEBUTINE,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,LORDFXWUHHSAQU-UHFFFAOYSA-N,387.48,3.0,,True,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(OCCc1ccccc1)c1ccccc1,888
