repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason
REP_02001,CHEMBL1628698,BGC-20-1531 FREE BASE,COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,IXDVRRPNWPOPGV-UHFFFAOYSA-N,492.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NS(=O)(=O)c1ccccc1)c1cc(COc2ccc(-c3ccccn3)cc2)co1,846,nlrp3_p_active_ge_threshold
REP_04573,CHEMBL2107622,ASCORBYL GAMOLENATE,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,FLRQOWAOMJMSTP-JJTRIOAGSA-N,436.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1C=CCO1,847,nlrp3_p_active_ge_threshold
REP_04574,CHEMBL2107625,BENAFENTRINE,COc1cc2c(cc1OC)[C@@H]1CN(C)CC[C@@H]1N=C2c1ccc(NC(C)=O)cc1,DCDXHGMCXGHXBM-PMACEKPBSA-N,393.49,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(C2=NC3CCNCC3c3ccccc32)cc1,848,nlrp3_p_active_ge_threshold
REP_04566,CHEMBL2107610,SULICRINAT,NS(=O)(=O)c1cc(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)ccc1Cl,REORSPZOQXYWIT-UHFFFAOYSA-N,438.67,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(c1ccccc1)c1ccccc1,849,nlrp3_p_active_ge_threshold
REP_04568,CHEMBL2107614,ETIPREDNOL DICLOACETATE,CCOC(=O)[C@@]1(OC(=O)C(Cl)Cl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,QAIOVDNCIZSSSF-RFAJLIJZSA-N,485.4,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,850,nlrp3_p_active_ge_threshold
REP_06878,CHEMBL5095103,IZUFORANT,CNC1CN(c2nc3ncc(Br)cc3n3cnnc23)C1,MMVBKZHQTLDYKG-UHFFFAOYSA-N,334.18,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cnc2nc(N3CCC3)c3nncn3c2c1,851,nlrp3_p_active_ge_threshold
REP_06870,CHEMBL5095094,CULMERCICLIB,CC(C)c1c2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2nn1C,LLFOBMRPWNABCB-UHFFFAOYSA-N,446.53,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cc(-c2ccc3n[nH]cc3c2)nc(Nc2ccc(N3CCNCC3)cn2)n1,852,nlrp3_p_active_ge_threshold
REP_06872,CHEMBL5095097,EDECESERTIB,C[C@H](C#N)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,HORBHQPSWJRDSV-ZUOKHONESA-N,435.46,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(-c2ccc3cccnn23)nc1,853,nlrp3_p_active_ge_threshold
REP_02233,CHEMBL1801250,NANATINOSTAT,O=C(NO)c1cnc(N2C[C@@H]3[C@H](C2)[C@H]3NCc2ccc3cc(F)ccc3n2)nc1,QRGHOAATPOLDPF-VQFNDLOPSA-N,394.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cnc(N2CC3C(C2)C3NCc2ccc3ccccc3n2)nc1,854,nlrp3_p_active_ge_threshold
REP_03607,CHEMBL2105494,ZINDOTRINE,Cc1cc(N2CCCCC2)nn2cnnc12,YYHWOTFWBVRTQD-UHFFFAOYSA-N,217.28,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cc2nncn2nc1N1CCCCC1,855,nlrp3_p_active_ge_threshold
REP_03598,CHEMBL2105477,BROVANEXINE,COc1cc(C(=O)Nc2c(Br)cc(Br)cc2CN(C)C2CCCCC2)ccc1OC(C)=O,DQTRREPKGJIABH-UHFFFAOYSA-N,568.31,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccccc1CNC1CCCCC1)c1ccccc1,856,nlrp3_p_active_ge_threshold
REP_03678,CHEMBL2105588,ELANZEPINE,CN(C)CC/C=C1\c2ccccc2CNc2cc(Cl)ccc21,YXZWPKTWLHVLEY-CAOOACKPSA-N,312.84,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C=C1c2ccccc2CNc2ccccc21,857,nlrp3_p_active_ge_threshold
REP_03680,CHEMBL2105590,UREDOFOS,CCOP(=O)(NC(=S)Nc1ccccc1NC(=O)NS(=O)(=O)c1ccc(C)cc1)OCC,NDXFLHPUUKVXLQ-UHFFFAOYSA-N,500.54,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Nc1ccccc1)NS(=O)(=O)c1ccccc1,858,nlrp3_p_active_ge_threshold
REP_06336,CHEMBL4297376,E-7820,Cc1ccc(NS(=O)(=O)c2cccc(C#N)c2)c2[nH]cc(C#N)c12,LWGUASZLXHYWIV-UHFFFAOYSA-N,336.38,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=S(=O)(Nc1cccc2cc[nH]c12)c1ccccc1,859,nlrp3_p_active_ge_threshold
REP_06321,CHEMBL4297322,PRX-08066,N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,IENZFHBNCRQMNP-UHFFFAOYSA-N,401.9,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(CN2CCC(Nc3ncnc4sccc34)CC2)cc1,860,nlrp3_p_active_ge_threshold
REP_06308,CHEMBL4297290,TOVINONTRINE,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1cn2c(C3CCOCC3)ncc2c(=O)[nH]1,GWGNPYYVGANHRJ-GDBMZVCRSA-N,394.48,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=c1[nH]c(C2CCN(Cc3ncccn3)C2)cn2c(C3CCOCC3)ncc12,861,nlrp3_p_active_ge_threshold
REP_01292,CHEMBL10188,TALNETANT,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,BIAVGWDGIJKWRM-FQEVSTJZSA-N,382.46,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NCc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,862,nlrp3_p_active_ge_threshold
REP_06367,CHEMBL4297453,PM-00104,COc1c(C)cc2c(c1O)[C@@H]1[C@@H]3Cc4c(OC(C)=O)c(C)c5c(c4[C@H](CNC(=O)/C=C/c4cccc(C(F)(F)F)c4)N3[C@@H](O)[C@H](C2)N1C)OCO5,VPAHZSUNBOYNQY-DLVGLDQCSA-N,709.72,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(C=Cc1ccccc1)NCC1c2c(ccc3c2OCO3)CC2C3NC(Cc4ccccc43)CN12,863,nlrp3_p_active_ge_threshold
REP_06278,CHEMBL4297090,DESOCRIPTINE,CC[C@H](C)[C@H]1CN2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,OPAVODIYXVLOOM-MXBMDEFOSA-N,563.74,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NC1OC2C3CCCN3CCN2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,864,nlrp3_p_active_ge_threshold
REP_00906,CHEMBL3916929,BALCINRENONE,CNC(=O)C[C@H]1COc2cc(F)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,MBKYLPOPYYLTNW-ZDUSSCGKSA-N,399.38,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1COc2ccc(C(=O)N3CCOc4ccccc43)cc2N1,865,nlrp3_p_active_ge_threshold
REP_06877,CHEMBL5095102,INIXACICLIB,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc21,YZSCPLGKKMSBMV-UHFFFAOYSA-N,480.56,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cc(-c2ccc3c(c2)NCCO3)nc(Nc2ccc(C3CCNCC3)cn2)n1,866,nlrp3_p_active_ge_threshold
REP_00267,CHEMBL363295,TERODILINE,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,UISARWKNNNHPGI-UHFFFAOYSA-N,281.44,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(Cc2ccccc2)cc1,867,nlrp3_p_active_ge_threshold
