smiles,pAct_JNK3
CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(F)ccc43)CC2)cc1,4.49
CC(=O)Nc1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,7.11
CC(=O)Nc1cccc(-c2nc3ccccc3c(=O)o2)c1,4.38
CC(=O)Nc1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.57
CC(=O)c1ccc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)cc1,5.16
CC(=O)c1sccc1NC(=O)Cc1ccccc1,4.77
CC(C)(C)C(=O)N1CCC[C@H](Nc2nccc(-n3c(CC#N)cnc3-c3ccc(Cl)c(Cl)c3)n2)C1,8.1
CC(C)(C)NC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,5.6
CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccc(Cl)cn4)c3c2)cc1,6.6
CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1,6.82
CC(C)(C)Oc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)cc1,7.57
CC(C)N1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,5.66
CC(C)N1CC[C@@H](NC(=O)c2cc(-n3ncc4cc(Nc5ccccc5Cl)ccc43)cs2)C1,7.51
CC(C)N1CC[C@H](NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)C1,7.92
CC(C)NC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,8.7
CC(C)NC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.45
CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,5.85
CC(C)n1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc3c2Cl)cn1,7.2
CC(C)n1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)cn1,6.94
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc(Cl)c(Cl)c2)n1,7.19
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc(F)c(C(F)(F)F)c2)n1,7.19
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc3c(c2)OCCO3)n1,7.19
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc3c(c2)OCO3)n1,7.19
CC(O)CNc1nccc(-n2c(CC#N)cnc2-c2ccc3ccccc3n2)n1,7.19
CC(Sc1ccc2ccccc2n1)C(=O)O,5.31
CC1(NC(=O)c2cc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)cs2)COC1,7.35
CC1=C(C(=O)OC2CCCCCCC2)C(c2ccc(O)cc2)NC(=O)N1,4.38
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1C,4.38
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1Cc1ccco1,4.64
CC1NC(=O)NC1CCCCCC(=O)NCCc1ccccc1,5.2
CCC(=O)Nc1ccc(C(=O)Nc2cccc(-n3cc(NC(=O)Nc4cccc5ccccc45)cn3)c2)cc1,5.11
CCC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4C)ccn3)cc2)c1,6.6
CCC(=O)Nc1cccc(C(=O)Nc2cccc(-n3cc(NC(=O)Nc4cccc5ccccc45)cn3)c2)c1,5.28
CCC(=O)Nc1cccc(C(=O)Nc2cccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c2)c1,6.76
CCC(C)Nc1cc(-c2c(-c3ccc(F)cc3)nc(S/C=C\C(=O)O)n2CC(OC)OC)ccn1,7.58
