panel,arm,n_dual,n_A,n_B,auroc_DA_pocketB,auroc_DB_pocketA,summary_min,ci_lo,ci_hi
PM48,vina,18,14,12,0.7143,0.6921,0.6921,0.4801,0.8016
PM48,rtm,18,14,12,0.6151,0.6574,0.6151,0.3929,0.7619
PM48,gnina_mode01,18,14,12,0.5794,0.6713,0.5794,0.361,0.746
PM48,gnina_best9,18,14,12,0.6548,0.6852,0.6548,0.4277,0.8087
PM110,vina,30,30,30,0.7311,0.6483,0.6483,0.5072,0.76
PM110,rtm,30,30,30,0.5756,0.7433,0.5756,0.4277,0.72
PM110,gnina_mode01,30,30,30,0.5222,0.7133,0.5222,0.3777,0.6611
PM110,gnina_best9,30,30,30,0.6133,0.6822,0.6133,0.4613,0.7361
