ligand,seed,target,top1_pose_rmsd_A,best_of_9_pose_rmsd_A,source_file,top1_le_2A,rmsd_definition
NP3-146,42,nlrp3_7alv,0.8208828930718026,0.6794826886226978,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,True,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
NP3-146,43,nlrp3_7alv,0.6675196238882132,0.6675196238882132,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,True,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
NP3-146,44,nlrp3_7alv,0.6829418615130404,0.6829418615130404,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,True,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
