ligand_id,name,canonical_smiles,inchi_key_recomputed,murcko_scaffold,mw_recomputed,clogp,tpsa,hbd,hba,rotatable_bonds,qed_recomputed,acid_types,chemistry_soft_pass,rdkit_version
REP_08016,ROVAFOVIR ETALAFENAMIDE CITRATE,CCOC(=O)[C@H](C)N[P@](=O)(CO[C@@H]1C=C(F)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,UQNIBOGIUNYYCZ-PDIMESFMSA-N,O=[PH](COC1C=CC(n2cnc3cncnc32)O1)Oc1ccccc1,698.5540000000002,1.6557000000000008,284.84,6,14,15,0.09712625386298254,carboxylate,False,2026.03.6
REP_06431,PHOSPHATIDYL SERINE,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,TZCPCKNHXULUIY-RGULYWFUSA-N,,792.088999999999,11.509899999999991,171.67999999999998,3,9,42,0.030503259782591982,carboxylate,False,2026.03.6
REP_08064,INZOMELID,CC(C)n1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)n1,MTOUOUSKXWSTAX-UHFFFAOYSA-N,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cc[nH]n1,388.4930000000003,2.9518000000000013,93.09,2,4,4,0.8420801118623154,acyl_sulfonamide,True,2026.03.6
REP_08043,DANUGLIPRON TROMETHAMINE,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1.NC(CO)(CO)CO,JEJPAGACGZQFHN-JIDHJSLPSA-N,c1ccc(COc2cccc(C3CCN(Cc4nc5ccccc5n4CC4CCO4)CC3)n2)cc1,676.7460000000002,2.54858,200.20999999999998,5,11,12,0.14713786823949804,carboxylate,False,2026.03.6
REP_04977,PF-04991532,O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(C(F)(F)F)c2)nc1,GKMLFBRLRVQVJO-ZDUSSCGKSA-N,O=C(Nc1ccccn1)C(CC1CCCC1)n1ccnc1,396.36899999999997,3.755200000000003,97.11000000000001,2,4,6,0.7750512857245737,carboxylate,True,2026.03.6
REP_01076,TENOFOVIR DISOPROXIL ASPARTATE,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.N[C@@H](CC(=O)O)C(=O)O,CCIDLBRRXVNEDK-KJTVYDLOSA-N,c1ncc2nc[nH]c2n1,652.5510000000002,1.9086000000000016,286.06,4,17,16,0.11430399573598046,carboxylate,False,2026.03.6
REP_00077,PARECOXIB,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,TZRHLKRLEZJVIJ-UHFFFAOYSA-N,c1ccc(-c2conc2-c2ccccc2)cc1,370.43000000000006,3.531920000000002,89.27,1,5,5,0.7419803073587752,acyl_sulfonamide,True,2026.03.6
REP_01178,ALEGLITAZAR,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,DAYKLWSKQJBGCS-NRFANRHFSA-N,c1ccc(-c2nc(CCOc3cccc4sccc34)co2)cc1,437.51700000000017,5.128320000000005,81.79,1,6,9,0.3909853027431884,carboxylate,True,2026.03.6
REP_06582,VENGLUSTAT MALATE,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)c1csc(-c2ccc(F)cc2)n1.O=C(O)CC(O)C(=O)O,SQXUKOJKIWCALK-PKLMIRHRSA-N,O=C(NCc1csc(-c2ccccc2)n1)OC1CN2CCC1CC2,523.5830000000002,2.9113,149.29,4,8,7,0.4296166871435259,carboxylate,False,2026.03.6
REP_06583,POSENACAFTOR,Cc1c(-c2cc(C(=O)O)c3c(O[C@H](C)C4CCOCC4)ccc(C)c3n2)oc2ccccc12,QUDOHCFOJCNKPK-QGZVFWFLSA-N,c1ccc2oc(-c3ccc4c(OCC5CCOCC5)cccc4n3)cc2c1,445.5150000000002,6.156940000000006,81.79,1,5,5,0.3963222166289621,carboxylate,True,2026.03.6
REP_01181,JT-001,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,KWSGPJCQWZMUQM-UHFFFAOYSA-N,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,402.47600000000017,2.1534000000000004,102.32000000000001,2,5,3,0.8190455225574339,acyl_sulfonamide,True,2026.03.6
REP_08143,AZD-8075,CC1(C)CCCN1C(=O)c1ccc(-c2cc(F)ccc2OCC(=O)O)cc1Cl,JBWZKSTUPNBNIT-UHFFFAOYSA-N,O=C(c1ccc(-c2ccccc2)cc1)N1CCCC1,405.8530000000002,4.624100000000004,66.84,1,3,5,0.787452865381539,carboxylate,True,2026.03.6
REP_06722,MARBOFLOXACIN,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,BPFYOAJNDMUVBL-UHFFFAOYSA-N,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCN2,362.3610000000002,0.5083000000000002,78.25,1,6,2,0.8339087025992016,carboxylate,True,2026.03.6
REP_01598,PRADOFLOXACIN,N#Cc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,LZLXHGFNOWILIY-APPDUMDISA-N,O=c1ccn(C2CC2)c2cc(N3CC4CCCNC4C3)ccc12,396.4220000000002,2.23358,98.36000000000001,2,5,3,0.8257060347999086,carboxylate,True,2026.03.6
REP_02379,MK-3577,CCC[C@H](c1ccc(C(=O)NCCC(=O)O)cc1)[C@H](c1ccc(Cl)cc1)c1c[nH]c2c(F)cc(C)cc12,FYRJJCYFYLLOSC-LXFBAYGMSA-N,c1ccc(CC(c2ccccc2)c2c[nH]c3ccccc23)cc1,521.0320000000002,7.189120000000006,82.19,3,2,10,0.20680935363205716,carboxylate,True,2026.03.6
REP_07300,RISELCAFTOR,COc1ccc(C)cc1[C@@]1(C(=O)NS(=O)(=O)c2cccc3nc(C)ccc23)C[C@H](c2ccccc2)CO1,ILQPLXMPYBURHT-PZGXJGMVSA-N,O=C(NS(=O)(=O)c1cccc2ncccc12)C1(c2ccccc2)CC(c2ccccc2)CO1,516.6190000000003,4.764740000000004,94.59,1,6,6,0.39697820853363586,acyl_sulfonamide,True,2026.03.6
REP_08161,CHOLYLSARCOSINE,C[C@H](CCC(=O)N(C)CC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,DRRMEMPJCIGHMB-ZNLOGFMMSA-N,C1CCC2C(C1)CCC1C3CCCC3CCC21,479.65800000000036,2.9071,118.30000000000001,4,5,6,0.4652328531274995,carboxylate,True,2026.03.6
REP_02391,VIDUPIPRANT,CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,PFWVGKROPKKEDW-UHFFFAOYSA-N,O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccc(C2CC2)cc1,609.503,6.758400000000004,121.79999999999998,3,5,9,0.2466133264993982,carboxylate,False,2026.03.6
REP_08211,LOTIGLIPRON TROMETHAMINE,C[C@]1(c2ccc(Cl)cn2)Oc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)c2O1.NC(CO)(CO)CO,UEEOYBOWXLQOLU-ZKXIHYOGSA-N,c1ccc(C2Oc3cccc(C4CCN(Cc5nc6ccccc6n5CC5CCO5)CC4)c3O2)nc1,696.201,3.2563,185.64999999999998,5,11,10,0.1633745265584829,carboxylate,False,2026.03.6
REP_02417,EMRICASAN,C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,SCVHJVCATBPIHN-SJCJKPOMSA-N,O=C(CNC(=O)CNC(=O)C(=O)Nc1ccccc1)COc1ccccc1,569.5080000000004,2.5912999999999995,150.9,4,6,10,0.19513088951938568,carboxylate,False,2026.03.6
REP_02378,MK-0893,COc1ccc2cc(-c3cc(-c4cc(Cl)cc(Cl)c4)nn3[C@@H](C)c3ccc(C(=O)NCCC(=O)O)cc3)ccc2c1,DNTVJEMGHBIUMW-IBGZPJMESA-N,c1ccc(Cn2nc(-c3ccccc3)cc2-c2ccc3ccccc3c2)cc1,588.4910000000003,7.4995000000000065,93.45,2,4,9,0.18607383417650236,carboxylate,False,2026.03.6
REP_01610,SALAZOSULFATHIAZOLE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3nccs3)cc2)ccc1O,FESOWBQMOCAPBN-VHEBQXMUSA-N,O=S(=O)(Nc1nccs1)c1ccc(N=Nc2ccccc2)cc1,404.4290000000001,3.763100000000001,141.31,3,8,6,0.534093567807746,carboxylate,False,2026.03.6
REP_00527,ENCALERET,Cc1cc(-c2ccccc2[C@@H](C)OC[C@H](O)CNC(C)(C)Cc2ccc(Cl)c(F)c2)ccc1C(=O)O,UNFHDRVFEQPUEL-DENIHFKCSA-N,c1ccc(CCNCCCOCc2ccccc2-c2ccccc2)cc1,514.0370000000003,6.202120000000006,78.79,3,4,11,0.28423419404592215,carboxylate,False,2026.03.6
REP_07101,VAMAGLOXISTAT,O=C(O)c1nn[nH]c1Oc1ccc(-c2ccc(C3CC(F)(F)C3)cc2)cc1,DIQJDWGODFNEHC-UHFFFAOYSA-N,c1cc(-c2ccc(C3CCC3)cc2)ccc1Oc1cnn[nH]1,371.3430000000001,4.4749000000000025,88.10000000000001,2,4,5,0.6905828326071982,carboxylate,True,2026.03.6
