ligand,seed,target,top1_pose_rmsd_A,best_of_9_pose_rmsd_A,source_file,top1_le_2A,rmsd_definition
lesinurad,42,urat1_9dkb,4.297886016209987,1.1803749051325452,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
lesinurad,43,urat1_9dkb,4.311697896420853,4.311697896420853,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
lesinurad,44,urat1_9dkb,4.878339398982675,3.873878681846744,data/campaigns/c1/02_selfdock/l2_selfdock_metrics.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
benzbromarone,42,urat1_9dka,3.585375725207765,1.110232858458081,data/campaigns/c5/01_crossdock/gate_audit_summary_dual.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
benzbromarone,43,urat1_9dka,3.603307962515454,1.0870610712960318,data/campaigns/c5/01_crossdock/gate_audit_summary_dual.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
benzbromarone,44,urat1_9dka,3.5953747370754017,1.108933066264393,data/campaigns/c5/01_crossdock/gate_audit_summary_dual.csv,False,symmetry-aware heavy-atom pose RMSD in receptor frame; no ligand superposition
