ligand_id,name,a1_seed42_dual_pass,urat1_pose_atom_matcher_in_scope,structural_seed_passes,loose_seed_passes,stored_chemistry_eligible,reconstructed_historical_eligible,loose_seed42_pass,alerts_known,pains_any,brenk,nih,beta_lactam_flag,historical_name_exclusion,structural_control,structural_only_counterfactual_eligible,nomination_status
REP_01593,CALCIMYCIN,False,True,0,3,True,True,True,True,False,False,False,False,,False,False,not_nominated
REP_05922,ONO-8539,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_03238,SODELGLITAZAR,False,True,2,2,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01122,ALISERTIB,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_04971,AZD-4017,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07580,PF-03882845,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_06464,ENRASENTAN,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07120,BMS-986310,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01485,GW468816,False,True,3,3,False,False,True,True,True,True,False,False,,False,False,not_nominated
REP_06855,ONRADIVIR,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07885,LSZ-102,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_06119,CAVOSONSTAT,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_04441,DASOLAMPANEL ETIBUTIL,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_06875,FULIMETIBANT,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_07635,PF-04620110,True,True,0,2,True,True,True,True,False,False,False,False,,False,False,not_nominated
REP_07073,DAVELIZOMIB,False,True,0,0,False,False,False,True,False,True,True,False,,False,False,not_nominated
REP_07074,EMIDURDAR,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00833,PIMODIVIR,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_06925,CADISEGLIATIN,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07000,ARRY-502,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07825,MK-5108,True,True,3,3,False,False,True,True,False,False,False,False,MK-5108,False,True,not_nominated
REP_06303,BMS-986020,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00853,ASAPIPRANT,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07021,XELAGLIFAM,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07837,MK-8457,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07838,TAS-119,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07775,BI-224436,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07735,MLN-8054,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00600,EPROTIROME,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_01131,EXISULIND,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_06524,GAVESTINEL,True,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_05288,TERBOGREL,True,True,2,2,False,False,True,True,False,True,False,False,TERBOGREL,False,False,not_nominated
REP_02721,CEFETRIZOLE,False,True,3,3,True,True,True,True,False,False,True,True,,False,False,not_nominated
REP_05460,PIROMIDIC ACID,True,True,3,3,False,False,True,True,False,False,False,False,PIROMIDIC,False,True,not_nominated
REP_07012,PELECOPAN,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05252,CLINAFLOXACIN,False,True,1,1,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_07977,ORE-1001,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07969,GSK-2018682,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_05102,PRADIGASTAT SODIUM,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_04623,CEFOXAZOLE,False,True,2,2,True,True,True,True,False,False,True,True,,False,False,not_nominated
REP_01345,SP-420,False,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_06470,DEFERITRIN,False,True,2,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_00142,PHTHALYLSULFATHIAZOLE,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
