pdb,target,ligand,resolution_A,experiment,structural_state,role,enters_production_library_docking,source,source_sha256,rcsb_url
9DK9,URAT1,apo,2.68,ELECTRON MICROSCOPY,apo,optional_crossdock_not_completed,False,data/structures/pdb/9DK9.cif,15c0aa207184e5c30c908f7b4ee1a88768dcb405e9bd23d9cb3654b38f91a263,https://www.rcsb.org/structure/9DK9
9DKA,URAT1,benzbromarone_R75,3.0,ELECTRON MICROSCOPY,ligand_bound,selfdock_and_crystal_anchor_and_rigid_transfer,False,data/structures/pdb/9DKA.cif,8faed274029ccfa2d94f39368283dc4a90888a0a31138b7498aa0f2a86df9af6,https://www.rcsb.org/structure/9DKA
9DKB,URAT1,lesinurad_A1AIL,2.74,ELECTRON MICROSCOPY,ligand_bound,production,True,data/structures/pdb/9DKB.cif,04ef27ca22a5d95756b709283553db40cddbfc51b89a6e8814d0674dcc72271f,https://www.rcsb.org/structure/9DKB
9DKC,URAT1,TD-3_A1A45,2.55,ELECTRON MICROSCOPY,ligand_bound,crystal_anchor_and_rigid_transfer,False,data/structures/pdb/9DKC.cif,4bea918be719d5b9a85e6884ee22827a7d1b382b88e3900d6c96a1829a189990,https://www.rcsb.org/structure/9DKC
9B1I,URAT1,verinurad,3.7,ELECTRON MICROSCOPY,ligand_bound,rigid_transfer_only,False,data/structures/pdb/9B1I.cif,0fcc3d10c8dd2737e6dbdf585e93384956ded0b1225d85e4fe6b85cd6438395d,https://www.rcsb.org/structure/9B1I
7ALV,NLRP3,NP3-146_RM5,2.84,X-RAY DIFFRACTION,ligand_bound,production,True,data/structures/pdb/7ALV.pdb,69f0792b64eafe2845e90d4c11aa27c4c32e3f07bbe323e0529d1a48a93cc513,https://www.rcsb.org/structure/7ALV
8ETR,NLRP3,GDC-2394_WTN,3.5,ELECTRON MICROSCOPY,ligand_bound,rigid_transfer_only,False,data/structures/pdb/8ETR.cif,84205d946fdfb495b0083fb9e26c13ab9e9057486eb8d6a5d5893304a0cdf458,https://www.rcsb.org/structure/8ETR
