pair,delta,ci_lo,ci_hi,ci_excludes_zero,weaker_arm_switched,n_dual,n_A_only,n_B_only,bootstrap,B,seed
EGFR/HER2,0.0558,-0.0368,0.1551,0,0,28,37,32,class_stratified_paired_ligand,2000,20260729
JAK1/JAK2,-0.0190,-0.0898,0.0527,0,0,32,32,32,class_stratified_paired_ligand,2000,20260729
JAK1/TYK2,-0.0645,-0.1562,0.0323,0,0,31,32,32,class_stratified_paired_ligand,2000,20260729
PIK3CA/mTOR,0.0903,-0.1148,0.2639,0,0,18,14,12,class_stratified_paired_ligand,2000,20260729
AChE/BChE,0.1770,0.0528,0.2906,1,1,27,26,28,class_stratified_paired_ligand,2000,20260729
F2/F10,-0.0307,-0.1144,0.0423,0,0,31,32,32,class_stratified_paired_ligand,2000,20260729
PPARG/PPARA,0.0296,-0.0803,0.1563,0,1,32,31,32,class_stratified_paired_ligand,2000,20260729
PPARA/PPARD,0.0117,-0.0859,0.1416,0,1,32,32,32,class_stratified_paired_ligand,2000,20260729
