pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file,source,n_complete,interpretation
JAK1/TYK2,main,summary_min,"min(D/A,D/B)",weaker directional arm,31,32,,0.3649193548387097,0.3649193548387097,0.230550455346651,0.5030321852060983,2000,2000,J1TYK2_065;J1TYK2_066;J1TYK2_067;J1TYK2_068;J1TYK2_069;J1TYK2_070;J1TYK2_071;J1TYK2_072;J1TYK2_073;J1TYK2_074;J1TYK2_075;J1TYK2_076;J1TYK2_077;J1TYK2_078;J1TYK2_079;J1TYK2_080;J1TYK2_081;J1TYK2_082;J1TYK2_083;J1TYK2_084;J1TYK2_085;J1TYK2_086;J1TYK2_087;J1TYK2_088;J1TYK2_089;J1TYK2_090;J1TYK2_091;J1TYK2_093;J1TYK2_094;J1TYK2_095;J1TYK2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,31,32,14,0.4438364055299539,,0.2633928571428572,0.6338277649769583,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,31,32,14,0.1299683179723502,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,31,14,,0.7695852534562212,0.77,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,31,64,,0.47404233870967744,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,31,64,,0.29554291474654376,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,31,64,,-0.06451612903225806,,-0.1505597626540782,0.03281783830956617,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,18,14,,0.7142857142857143,0.7142857142857143,0.5058874700179048,0.8993066829004329,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,18,12,,0.6921296296296297,0.6921296296296297,0.49473105841526893,0.8738075196408526,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,summary_min,"min(D/A,D/B)",weaker directional arm,18,12,,0.6921296296296297,0.6921296296296297,0.47021053791887124,0.8133373015873016,2000,2000,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,18,12,4,-0.21990740740740744,,-0.5115740740740741,0.018576388888888653,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,18,14,4,-0.13095238095238093,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,18,4,,0.5138888888888888,0.514,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,18,26,,0.6987179487179487,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,18,26,,-0.18482905982905984,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,18,26,,0.09027777777777779,,-0.11723607588992208,0.2861458333333331,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,31,32,,0.41330645161290325,0.41330645161290325,0.258884872080089,0.5621815755287622,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,31,32,,0.34475806451612906,0.34475806451612906,0.21428247342494167,0.48557092218693254,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,summary_min,"min(D/A,D/B)",weaker directional arm,31,32,,0.34475806451612906,0.34475806451612906,0.21092375366568913,0.4773048467127413,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,31,32,12,0.1633064516129032,,-0.0037550403225806114,0.33266969086021503,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,31,32,12,0.11491935483870963,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,31,12,,0.5188172043010753,0.519,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,31,64,,0.38382056451612906,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,31,64,,0.1349966397849462,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,31,64,,-0.030745967741935443,,-0.11513386138285157,0.04605732027881146,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,31,,0.6491935483870968,0.6491935483870968,0.5073547505126452,0.7784834386558525,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,32,32,,0.7060546875,0.7060546875,0.568578431372549,0.8333436724565757,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,31,,0.6491935483870968,0.6491935483870968,0.504459330558446,0.750837597330367,2000,2000,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,32,32,14,0.0528738839285714,,-0.1319963727678571,0.2346644810267857,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,32,31,14,-0.005220334101382451,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,32,14,,0.6852678571428571,0.685,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,32,63,,0.6726190476190477,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,32,63,,0.012648809523809423,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,32,63,,0.029564642137096753,,-0.07895711925847751,0.1619893376285379,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,32,,0.646484375,0.646484375,0.5044910982410982,0.7756760912698412,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,32,32,,0.4462890625,0.4462890625,0.29583333333333334,0.5858570038033101,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,32,,0.4462890625,0.4462890625,0.29583333333333334,0.584130291005291,2000,2000,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,32,32,14,0.0380859375,,-0.1358956473214286,0.2176339285714286,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,32,32,14,0.018694196428571397,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,32,14,,0.5647321428571429,0.565,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,32,64,,0.512451171875,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,32,64,,0.052280970982142905,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,32,64,,0.01171875,,-0.08769707200086002,0.14324953561371212,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,32,,0.91455078125,0.9146,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,0.916015625,0.916,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,32,,0.00146484375,0.0014000000000000679,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.9677734375,0.9678,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.96875,0.9688,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,0.0009765625,0.0010000000000000009,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,31,32,,0.8457661290322581,0.8458,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,31,32,,0.8397177419354838,0.8397,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,31,32,,-0.006048387096774355,-0.006099999999999994,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,31,32,,0.9022177419354839,0.9022,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,0.9032258064516128,0.9032,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,31,32,,0.0010080645161288926,0.0010000000000000009,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,18,14,,0.7619047619047619,0.7619,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,18,14,,0.7420634920634921,0.7421,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,18,14,,-0.01984126984126977,-0.01980000000000004,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,18,12,,0.8888888888888888,0.8889,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,18,12,,0.8981481481481481,0.8981,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,18,12,,0.0092592592592593,0.009199999999999986,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,31,32,,0.936491935483871,0.9365,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,31,32,,0.9294354838709677,0.9294,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,31,32,,-0.007056451612903247,-0.007099999999999995,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,31,32,,0.6653225806451613,0.6653,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,0.686491935483871,0.6865,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
F2/F10,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,31,32,,0.021169354838709742,0.021199999999999997,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,31,,0.8326612903225806,0.8327,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,31,,0.8195564516129032,0.8196,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
