pair,n_complete,n_dual,n_A,n_B,n_neither,AUROC_D_vs_A_pocketB,AUROC_D_vs_B_pocketA,summary_min,fixed_score_D_vs_neither_pocketA,fixed_score_D_vs_B_only_pocketA,fixed_score_delta_pocketA,fixed_score_delta_pocketA_ci,AUROC_mean_D_vs_neither,AUROC_mean_D_vs_AplusB,matched_minus_mismatched,matched_minus_mismatched_ci,matched_ci_includes_0,Top10_D_A_B_N,EF_dual_10,do_not_claim_matched_pocket_advantage
EGFR/HER2,110,28,38,32,12,0.6607142857142858,0.3236607142857143,0.3236607142857143,0.7857142857142857,0.3236607142857143,0.4620535714285714,"0.26152343750000007,0.6507347470238092",0.7589285714285714,0.49642857142857144,0.05580357142857145,"-0.040206473214285735,0.15401785714285715",yes,1/5/5/0,0.3571428571428572,yes
AChE/BChE,96,27,26,28,15,0.6524216524216524,0.6058201058201058,0.6058201058201058,0.5901234567901235,0.6058201058201058,-0.015696649029982357,"-0.14585978835978844,0.11677910052910057",0.6493827160493827,0.5558984910836763,0.17704517704517708,"0.04975325600325594,0.29732397232397223",no,5/3/1/1,1.7777777777777777,no
