repurposing_id,canonical_smiles,name,role,receptor_hint
LESINURAD,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,lesinurad,strict_redock_9DKB,urat1_9dkb
BENZBROMARONE,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,benzbromarone,crossdock_control_9DKB,urat1_9dkb
DOTINURAD,O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,dotinurad,crossdock_control_9DKB,urat1_9dkb
MCC950,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,MCC950,smoke_7ALV_optional,nlrp3_7alv
