status,check,pair,file,reported,independent,extra
PASS,primary experimental states equal theta=6.0 from pChEMBL,EGFR/HER2,,,110,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,EGFR/HER2,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,EGFR/HER2,,,110,
PASS,primary experimental states equal theta=6.0 from pChEMBL,JAK1/JAK2,,,110,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,JAK1/JAK2,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,JAK1/JAK2,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,JAK1/JAK2,,,110,
WARNING,ligand-level source document IDs are not deposited for this pair,JAK1/JAK2,document_blocked_ligand_groups_v1.csv covers only EGFR/AChE/PIK3CA,,110,
PASS,primary experimental states equal theta=6.0 from pChEMBL,JAK1/TYK2,,,109,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,JAK1/TYK2,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,JAK1/TYK2,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,JAK1/TYK2,,,109,
WARNING,ligand-level source document IDs are not deposited for this pair,JAK1/TYK2,document_blocked_ligand_groups_v1.csv covers only EGFR/AChE/PIK3CA,,109,
PASS,primary experimental states equal theta=6.0 from pChEMBL,PIK3CA/mTOR,,,48,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,PIK3CA/mTOR,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,PIK3CA/mTOR,,,48,
PASS,primary experimental states equal theta=6.0 from pChEMBL,AChE/BChE,,,95,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,AChE/BChE,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,AChE/BChE,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,AChE/BChE,,,95,
PASS,primary experimental states equal theta=6.0 from pChEMBL,F2/F10,,,107,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,F2/F10,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,F2/F10,,,,
PASS,Bemis-Murcko scaffold present for every scored ligand,F2/F10,,,107,
WARNING,ligand-level source document IDs are not deposited for this pair,F2/F10,document_blocked_ligand_groups_v1.csv covers only EGFR/AChE/PIK3CA,,107,
PASS,primary experimental states equal theta=6.0 from pChEMBL,PPARG/PPARA,,,109,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,PPARG/PPARA,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,PPARG/PPARA,,,,
