pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neg_sel,n_neg_neither,independent,reported,ci_lo,ci_hi,source_file
F2/F10,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,31,12,,,0.5188172043010753,0.519,0.3387096774193548,0.6935483870967742,Table 3
F2/F10,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,31,76,,,1.2551319648093844,1.2551319648093844,,,eight_pair_ranking_operating_point_v1.csv
F2/F10,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,4,7,,,4/1/6/0,4/1/6/0,,,eight_pair_ranking_operating_point_v1.csv
PPARG/PPARA,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,32,,31,14,-0.005220334101382451,-0.0052,-0.21703449020737325,0.1899472566244238,"pocket B fixed; A-only versus neither; shared dual resample, independent negativ"
PPARG/PPARA,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,32,,32,14,0.0528738839285714,0.0529,-0.1319963727678571,0.2346644810267857,"pocket A fixed; B-only versus neither; shared dual resample, independent negativ"
PPARG/PPARA,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,32,31,,,0.6491935483870968,0.6491935483870968,0.5073547505126452,0.7784834386558525,primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,32,32,,,0.7060546875,0.7060546875,0.568578431372549,0.8333436724565757,primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,31,,,0.6491935483870968,0.6491935483870968,0.504459330558446,0.750837597330367,primary_directional_intervals_review_v1.csv
PPARG/PPARA,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,32,14,,,0.6852678571428571,0.685,0.49330357142857145,0.8460379464285712,Table 3
PPARG/PPARA,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,32,77,,,2.1676136363636362,2.1676136363636362,,,eight_pair_ranking_operating_point_v1.csv
PPARG/PPARA,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,7,4,,,7/3/0/1,7/3/0/1,,,eight_pair_ranking_operating_point_v1.csv
PPARA/PPARD,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,32,,32,14,0.018694196428571397,0.0187,-0.16244768415178576,0.20131835937499992,"pocket B fixed; A-only versus neither; shared dual resample, independent negativ"
PPARA/PPARD,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,32,,32,14,0.0380859375,0.0381,-0.1358956473214286,0.2176339285714286,"pocket A fixed; B-only versus neither; shared dual resample, independent negativ"
PPARA/PPARD,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,32,32,,,0.646484375,0.646484375,0.5044910982410982,0.7756760912698412,primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,32,32,,,0.4462890625,0.4462890625,0.29583333333333334,0.5858570038033101,primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,32,,,0.4462890625,0.4462890625,0.29583333333333334,0.584130291005291,primary_directional_intervals_review_v1.csv
PPARA/PPARD,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,32,14,,,0.5647321428571429,0.565,0.36607142857142855,0.7589843749999997,Table 3
PPARA/PPARD,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,32,78,,,1.5625,1.5625,,,eight_pair_ranking_operating_point_v1.csv
PPARA/PPARD,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,5,6,,,5/2/3/1,5/2/3/1,,,eight_pair_ranking_operating_point_v1.csv
EGFR/HER2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,28,38,,,0.7453007518796992,0.7453,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,28,38,,,0.7509398496240601,0.7509,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,28,38,,,0.005639097744360888,0.005600000000000049,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,28,32,,,0.8895089285714286,0.8895,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,28,32,,,0.8872767857142857,0.8873,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,28,32,,,-0.0022321428571429047,-0.0021999999999999797,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,32,32,,,0.91455078125,0.9146,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,,0.916015625,0.916,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,32,32,,,0.00146484375,0.0014000000000000679,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,32,32,,,0.9677734375,0.9678,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,,0.96875,0.9688,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/JAK2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,32,32,,,0.0009765625,0.0010000000000000009,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/TYK2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,31,32,,,0.8457661290322581,0.8458,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
