pair,subset,arm,family,auroc_D_vs_A,auroc_D_vs_B,summary_min,fail_baseline,best_baseline_arm,best_baseline_summary_min
EGFR_HER2,all_110_unified_rdkit,vina_mean,docking,0.6805,0.2824,0.2824,True,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,vina_min,docking,0.6485,0.2528,0.2528,True,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,rtm_min,docking,0.5301,0.2556,0.2556,True,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,rtm_mean,docking,0.532,0.2746,0.2746,True,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,rtm_min_z,docking,0.5329,0.2533,0.2533,True,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,heavy_atoms,baseline,0.6997,0.3694,0.3694,,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,MW,baseline,0.6476,0.4163,0.4163,,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,cLogP,baseline,0.5263,0.4821,0.4821,,cLogP,0.4821
EGFR_HER2,all_110_unified_rdkit,TPSA,baseline,0.703,0.4275,0.4275,,cLogP,0.4821
