tau_percentile,n_pass,names
85,119,IDREMCINAL; ZAMZETOCLAX; TILPISERTIB; ALEMCINAL; DIVARASIB; TILDIPIROSIN; CETHROMYCIN; PC-786; RUTAMYCIN; XP-102; MRTX-1133; BAY1067197; MITEMCINAL FUMARATE; SPH-5030; PYROTINIB; SELAMECTIN; TALORASIB; ICOMIDOCHOLIC ACID; KOSN-1724; H3B-6527; ZELENIRSTAT; ATUMELNANT; MILVEXIAN; SACIBERTINIB; NAVAFENTEROL; GSK-3008348 FREE BASE; TUXOBERTINIB; TIVUMECIRNON; VARLITINIB; DEPULFAVIRINE
90,77,IDREMCINAL; ZAMZETOCLAX; TILPISERTIB; ALEMCINAL; DIVARASIB; TILDIPIROSIN; CETHROMYCIN; PC-786; RUTAMYCIN; XP-102; MRTX-1133; BAY1067197; MITEMCINAL FUMARATE; SPH-5030; PYROTINIB; SELAMECTIN; TALORASIB; ICOMIDOCHOLIC ACID; KOSN-1724; H3B-6527; ZELENIRSTAT; ATUMELNANT; MILVEXIAN; SACIBERTINIB; NAVAFENTEROL; GSK-3008348 FREE BASE; TUXOBERTINIB; TIVUMECIRNON; VARLITINIB; DEPULFAVIRINE
95,21,IDREMCINAL; ZAMZETOCLAX; TILPISERTIB; ALEMCINAL; DIVARASIB; TILDIPIROSIN; CETHROMYCIN; RUTAMYCIN; XP-102; MRTX-1133; MITEMCINAL FUMARATE; SELAMECTIN; TALORASIB; ZELENIRSTAT; MILVEXIAN; NAVAFENTEROL; GSK-3008348 FREE BASE; PREDNIMUSTINE; LAIDLOMYCIN PROPIONATE; TILPISERTIB FOSMECARBIL; VECABRUTINIB
