name,front_frequency
ALEMCINAL,0.648
CETHROMYCIN,0.63
IDREMCINAL,0.626
ZAMZETOCLAX,0.588
TILPISERTIB,0.264
DIVARASIB,0.23
XP-102,0.094
TILDIPIROSIN,0.034
LAIDLOMYCIN PROPIONATE,0.02
MITEMCINAL FUMARATE,0.018
MILVEXIAN,0.004
TALADEGIB,0.004
VECABRUTINIB,0.002
TILPISERTIB FOSMECARBIL,0.002
ZORACOPAN,0.002
