pair,ligand,cls,smiles,label_rule,prep,pA,pB,min_pchembl,heavy,mw,clogp,tpsa,vina_mean,vina_min,rtm_min,rtm_mean,rtm_min_z,gnina_cnn_min
AChE/BChE,AB_002,dual,CCOc1ccc(Cc2nc3cc(C(=O)NCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3n2CCC(C)C)cc1,strict_6.5_5.5,rdkit_meeko,8.0,6.8,6.8,46.0,617.8380000000001,8.121000000000008,81.07,11.171,10.501,14.575425065765891,28.747368968768928,-0.817757965095844,0.4531404376
AChE/BChE,AB_003,dual,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,strict_6.5_5.5,rdkit_meeko,7.96,8.62,7.96,18.0,247.29799999999997,1.4073999999999998,62.39,8.4235,7.984,17.292325043731857,19.306479098330698,-2.0251229057086815,0.6210270524
AChE/BChE,AB_004,dual,CC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@H](C1)C2.Cl.Cl.Cl,strict_6.5_5.5,rdkit_meeko,8.88,6.88,6.88,45.0,688.6150000000004,11.051099999999982,49.84,12.0625,11.1,27.085139770564137,33.66826406530857,0.42552909912373815,0.2628403902
AChE/BChE,AB_005,dual,COc1ccc2cc(C(=O)NCCCCCNc3c4c(nc5ccccc35)CCCC4)c(=O)oc2c1,strict_6.5_5.5,rdkit_meeko,7.35,7.53,7.35,36.0,485.58400000000034,5.240800000000005,93.46,11.594000000000001,10.593,13.081555367141297,30.389830089978638,-1.0020615818937104,0.5061365962
AChE/BChE,AB_006,dual,CNC(=O)Oc1cccc(CN(C)CCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1.Cl,strict_6.5_5.5,rdkit_meeko,8.17,7.6,7.6,39.0,553.0990000000003,6.937600000000008,81.01,10.624500000000001,10.122,31.495301413414683,36.069910258532325,0.4764212391580993,0.6579270363
AChE/BChE,AB_007,dual,COc1cc(C(=O)NCCCCCCCCC(=O)NNc2c3c(cc4ccccc24)CCCC3)cc(OC)c1OC,strict_6.5_5.5,rdkit_meeko,8.29,8.86,8.29,41.0,561.7230000000002,6.3482000000000065,97.92,10.622,9.76,25.182708764004317,32.21199243539905,0.294766559992492,0.2850957811
AChE/BChE,AB_008,dual,CNC(=O)Oc1cccc2c1OCC1CCN(C)C21,strict_6.5_5.5,rdkit_meeko,7.52,7.23,7.23,19.0,262.3089999999999,1.79,50.800000000000004,8.7225,8.118,19.848287133318227,22.002598956026752,-1.6579569171417443,0.8894884586
AChE/BChE,AB_009,dual,CC(C)(C)c1ccc(NCCCCCCCCNc2ccnc3cc(C(F)(F)F)ccc23)cc1,strict_6.5_5.5,rdkit_meeko,6.8,7.15,6.8,34.0,471.611,8.415700000000005,36.95,9.738,8.845,32.56935563962117,33.83630823318455,-0.5689367149199867,0.4947900772
AChE/BChE,AB_010,dual,CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(NC(C)=O)c(Cl)c3)CC2)nc1-c1ccccc1,strict_6.5_5.5,rdkit_meeko,6.84,6.81,6.81,38.0,558.0600000000004,3.751420000000003,121.8,9.3825,9.224,17.00665886933756,27.140857721223824,-0.5178086564700356,0.5139223337
AChE/BChE,AB_011,dual,O=C(NCCCNc1c2c(nc3ccccc13)CCCC2)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,strict_6.5_5.5,rdkit_meeko,6.51,6.67,6.51,43.0,596.7570000000001,6.001400000000006,118.13,10.904,10.85,18.402976956147302,31.949911665882134,-0.3455403027868118,0.9056963921
AChE/BChE,AB_012,dual,C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,strict_6.5_5.5,rdkit_meeko,7.33,7.91,7.33,22.0,296.3300000000001,0.5039999999999996,76.02000000000001,8.9755,8.209,7.881541408371815,20.96090455522387,-1.6436044024509437,0.729161799
