pair,feature,auroc_dual_vs_hardneg_pooled,mean_dual,mean_hardneg,delta_mean
AChE/BChE,tpsa,0.769,75.2559,50.6625,24.5935
AChE/BChE,clogp,0.5052,5.1792,5.0228,0.1564
AChE/BChE,heavy,0.5877,33.4444,31.566,1.8784
AChE/BChE,mw,0.5825,465.2248,437.9774,27.2474
AChE/BChE,vina_mean,0.5594,10.2064,9.9695,0.2369
AChE/BChE,rtm_min_z,0.4375,-0.5686,-0.3794,-0.1892
AChE/BChE,gnina_cnn_min,0.3725,0.577,0.6473,-0.0704
