panel,channel,n_dual,n_A_only,n_B_only,D_vs_A_pocketB,D_vs_B_pocketA,summary_min,ci_lo,ci_hi
PM48,mode01,18,14,12,0.5794,0.6713,0.5794,0.3684,0.75
PM48,best9,18,14,12,0.6548,0.6852,0.6548,0.4316,0.8117
PM110,mode01,30,30,30,0.5222,0.7133,0.5222,0.3675,0.6703
PM110,best9,30,30,30,0.6133,0.6822,0.6133,0.4583,0.7419
