pair,cutoff,arm,n_dual,n_A_only,n_B_only,n_neither,underpowered,auroc_D_vs_A,auroc_D_vs_B,summary_min,auroc_pooled
PIK3CA/mTOR,6.0,gnina_cnn_min,18,14,12,4,0,0.5952,0.7037,0.5952,0.6453
PIK3CA/mTOR,6.0,heavy,18,14,12,4,0,0.4643,0.463,0.463,0.4637
PIK3CA/mTOR,6.0,tpsa,18,14,12,4,0,0.2599,0.4514,0.2599,0.3483
PIK3CA/mTOR,6.0,clogp,18,14,12,4,0,0.5198,0.3102,0.3102,0.4231
PIK3CA/mTOR,6.5,vina_mean,17,15,12,4,0,0.702,0.6667,0.6667,0.6863
PIK3CA/mTOR,6.5,rtm_min_z,17,15,12,4,0,0.4784,0.652,0.4784,0.5556
PIK3CA/mTOR,6.5,gnina_cnn_min,17,15,12,4,0,0.5647,0.6863,0.5647,0.6187
PIK3CA/mTOR,6.5,heavy,17,15,12,4,0,0.4725,0.4681,0.4681,0.4706
PIK3CA/mTOR,6.5,tpsa,17,15,12,4,0,0.3039,0.4681,0.3039,0.3769
PIK3CA/mTOR,6.5,clogp,17,15,12,4,0,0.5373,0.3284,0.3284,0.4444
