pair,n_labeled,D_vs_A_mode01,D_vs_B_mode01,summary_min_mode01,D_vs_A_best9,D_vs_B_best9,summary_min_best9,delta_summary_min_best9_minus_mode01,frac_mode01_is_best_pose
AChE/BChE,84,0.3719,0.4947,0.3719,0.3585,0.3849,0.3585,-0.0133,0.194
PIK3CA/PIK3CB,84,0.5556,0.5064,0.5064,0.5860,0.4337,0.4337,-0.0727,0.271
PIK3CA/mTOR,44,0.5635,0.6620,0.5635,0.5952,0.7037,0.5952,+0.0317,0.292
EGFR/HER2,98,0.4859,0.2634,0.2634,0.4906,0.2645,0.2645,+0.0011,0.286
