pair,n,n_dual,n_A_only,n_B_only,n_neither,n_with_gnina,n_with_pchembl_both,label_rule
EGFR/HER2,110,28,38,32,12,110,110,theta_6_panel120
AChE/BChE,95,27,25,28,15,95,95,strict_6.5_5.5
PIK3CA/PIK3CB,99,28,27,28,16,99,99,strict_6.5_5.5
PIK3CA/mTOR,48,18,14,12,4,48,48,theta_6_panel48
