pair,ligand,cls,smiles,label_rule,prep,pA,pB,min_pchembl,heavy,mw,clogp,tpsa,vina_mean,vina_min,rtm_min,rtm_mean,rtm_min_z,gnina_cnn_min
PIK3CA/PIK3CB,PAB_001,dual,O=c1cc(N2CCOCC2)oc2c(-c3ccc4[nH]ccc4c3)csc12,strict_6.5_5.5,rdkit_meeko,6.66,6.79,6.66,25.0,352.4150000000001,3.839400000000002,58.470000000000006,8.592500000000001,8.583,45.48873577196629,48.73344904934337,0.10741856302054902,0.2814975977
PIK3CA/PIK3CB,PAB_002,dual,CNC(=O)c1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccc(C(=O)N4CCN(C)CC4)cc3Cl)sc1-2,strict_6.5_5.5,rdkit_meeko,8.3,6.7,6.7,38.0,553.0840000000003,4.027200000000003,82.19,7.8535,7.484,36.49643653503083,46.371534148624896,-0.4899568307653096,0.0677607656
PIK3CA/PIK3CB,PAB_003,dual,CCNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N4CCOCC4=O)n3)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,strict_6.5_5.5,rdkit_meeko,7.19,6.75,6.75,42.0,624.6670000000004,3.8251200000000027,133.83,8.435500000000001,7.885,38.00737594610995,53.94763982730039,-0.7350910594456352,0.0537728295
PIK3CA/PIK3CB,PAB_004,dual,COc1ccc([C@@H]2OC(=O)N(c3cc(-c4cnc(N)nc4C(F)(F)F)nc(N4CCOCC4)n3)[C@H]2CO)cc1,strict_6.5_5.5,rdkit_meeko,8.3,8.15,8.15,39.0,547.4940000000004,2.4386,149.04999999999998,8.5685,8.369,48.80543909749711,57.15145340935251,0.32775341876263436,0.8925458193
PIK3CA/PIK3CB,PAB_005,dual,COc1ccc(Nc2ncc(N3CCN(C)CC3)cc2-c2nc(C)nc(N)n2)cn1,strict_6.5_5.5,rdkit_meeko,7.41,8.15,7.41,30.0,407.48200000000014,1.7232199999999993,118.21,8.1645,7.572,24.199496659226167,57.26403325852846,-1.3068657332734617,0.5350555182
PIK3CA/PIK3CB,PAB_006,dual,c1cc(-c2nc(N3CCOCC3)c3oc4ncc(N5CCOCC5)cc4c3n2)c2cc[nH]c2c1,strict_6.5_5.5,rdkit_meeko,7.02,7.6,7.02,34.0,456.50600000000026,3.592500000000002,92.53999999999999,8.872,8.344,32.05756927802492,52.01057423548572,-0.784839152377278,0.0773529485
PIK3CA/PIK3CB,PAB_007,dual,CN(C)C(=O)c1cc(CN2CCOc3ccc(F)cc32)c2oc(N3CCOCC3)cc(=O)c2c1,strict_6.5_5.5,rdkit_meeko,8.0,8.05,8.0,34.0,467.4970000000003,2.8695000000000013,75.46000000000001,8.4215,8.41,39.52261759646128,41.12027256413124,-0.45027178024343634,0.3516733646
PIK3CA/PIK3CB,PAB_008,dual,COc1ccc(Nc2ncccc2-c2nc(C)nc(N)n2)cn1,strict_6.5_5.5,rdkit_meeko,6.97,7.64,6.97,23.0,309.333,1.9714199999999995,111.73,8.099,7.944,47.63738118591042,61.59499934661571,0.2501571292583072,0.6956811547
PIK3CA/PIK3CB,PAB_009,dual,Cc1nc(N)nc(-c2cccnc2Nc2cccc(O)c2)n1,strict_6.5_5.5,rdkit_meeko,7.92,8.52,7.92,22.0,294.31800000000004,2.2734199999999998,109.84,8.445,8.162,50.98048607248521,60.67460640614918,0.47224589048214355,0.8608862162
PIK3CA/PIK3CB,PAB_010,dual,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,strict_6.5_5.5,rdkit_meeko,7.7,7.04,7.04,33.0,548.9050000000002,5.196320000000003,127.07,8.0165,8.003,29.37329753430743,30.53830390410716,-1.1162607395005701,0.0948791504
PIK3CA/PIK3CB,PAB_011,dual,CNS(=O)(=O)c1cc(-c2sc(Nc3cccc(N4CCNC4=O)n3)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,strict_6.5_5.5,rdkit_meeko,7.5,6.56,6.56,40.0,595.6290000000004,3.601420000000002,136.63,8.5625,7.828,47.88331175943716,56.5851839717966,-0.13795145304723475,0.0247048102
PIK3CA/PIK3CB,PAB_012,dual,O=S(=O)(Nc1cc(-c2ccc3nncc(-c4ccncc4)c3c2)cnc1Cl)c1ccccc1,strict_6.5_5.5,rdkit_meeko,9.15,8.77,8.77,33.0,473.9450000000001,5.208000000000003,97.73,9.9845,9.823,46.30893077583779,63.182593919844976,0.1619056636506552,0.7035218477
PIK3CA/PIK3CB,PAB_013,dual,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2cccc(Cl)c2Cl)c1,strict_6.5_5.5,rdkit_meeko,7.27,7.55,7.27,33.0,548.9050000000002,5.196320000000003,127.07,8.016,7.13,25.672215270588204,29.587044434415795,-1.2090302590285031,0.065150544
PIK3CA/PIK3CB,PAB_014,dual,Cc1cc([C@@H](C)Nc2ccccc2C(=O)NS(C)(=O)=O)c2nc(N3CCOCC3)cc(=O)n2c1,strict_6.5_5.5,rdkit_meeko,6.8,7.92,6.8,34.0,485.5660000000004,1.7020199999999994,122.11000000000001,8.2155,8.082,45.64980033717452,48.00363416897409,0.011646186310252465,0.7236070037
