prep,arm,auroc_D_vs_A,auroc_D_vs_B,summary_min
ligprep_old,vina_mean,0.6984126984126984,0.5972222222222222,0.5972222222222222
ligprep_old,rtm_min_z,0.6111111111111112,0.7916666666666666,0.6111111111111112
rdkit_new,vina_mean,0.7222222222222222,0.6712962962962963,0.6712962962962963
rdkit_new,rtm_min_z,0.5198412698412699,0.6712962962962963,0.5198412698412699
