pair,ligand,cls,smiles,label_rule,prep,pA,pB,min_pchembl,heavy,mw,clogp,tpsa,vina_mean,vina_min,rtm_min,rtm_mean,rtm_min_z,gnina_cnn_min
EGFR/HER2,EH40_01,dual,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,theta_6_panel120,rdkit_meeko_unified,9.0,8.52,8.52,38.0,547.9650000000001,5.916600000000003,101.30000000000001,9.822,9.733,96.01482106466442,103.23457346817536,2.343415733423094,0.8840889931
EGFR/HER2,EH40_02,dual,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,theta_6_panel120,rdkit_meeko_unified,10.22,8.8,8.8,40.0,581.0690000000002,6.139100000000005,106.35000000000001,10.663,10.616,75.86502366938002,88.15325367169422,1.8386719674490255,0.8502423167
EGFR/HER2,EH40_03,dual,Cc1ccc(S(=O)(=O)c2ccc(C3C(C(=O)c4ccccc4)=C(N)NC4=C3C(=O)CC(C)(C)C4)cc2)cc1,theta_6_panel120,rdkit_meeko_unified,9.85,9.47,9.47,38.0,526.6580000000004,5.211020000000004,106.33000000000001,9.2545,8.426,24.23259732498766,29.439186008322153,-1.4986423650860372,0.2932597697
EGFR/HER2,EH40_04,dual,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1)c1c(F)cccc1F,theta_6_panel120,rdkit_meeko_unified,8.7,8.4,8.4,44.0,607.6460000000003,6.920700000000005,104.52,11.5165,11.208,44.51945295911753,49.00990557858027,-0.19446487313692043,0.2035463154
EGFR/HER2,EH40_05,dual,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,theta_6_panel120,rdkit_meeko_unified,8.19,8.0,8.0,35.0,469.54500000000024,4.953340000000003,98.26,9.824,9.411,33.71417797191255,57.300247719164545,-0.6995230359774627,0.8722106814
EGFR/HER2,EH40_06,dual,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO,theta_6_panel120,rdkit_meeko_unified,8.38,7.79,7.79,42.0,590.0590000000002,6.459300000000005,127.08000000000001,10.013,9.942,42.36587190179503,70.20280027606961,-0.17854448998064087,0.6998056173
EGFR/HER2,EH40_07,dual,CO/N=C/c1c(N)ncnc1Nc1ccc2c(ccn2Cc2cccc(F)c2)c1,theta_6_panel120,rdkit_meeko_unified,7.89,7.57,7.57,29.0,390.42200000000014,3.924800000000002,90.35,9.479500000000002,9.329,60.57348968849108,61.91829393683315,0.1207153323953484,0.439724952
EGFR/HER2,EH40_08,dual,CCc1c(C(=O)NCCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,theta_6_panel120,rdkit_meeko_unified,7.4,7.52,7.4,39.0,519.6130000000002,4.449900000000003,106.96000000000001,9.642499999999998,9.245,47.89045520653652,54.776122504047,0.15412901889158448,0.5692833662
EGFR/HER2,EH40_09,dual,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,theta_6_panel120,rdkit_meeko_unified,7.7,7.23,7.23,43.0,598.103,6.308080000000005,108.74000000000001,10.430499999999999,10.004,42.33542548171974,46.239515759535365,-0.6919765895579878,0.1517282575
EGFR/HER2,EH40_10,dual,O=C(CCCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO,theta_6_panel120,rdkit_meeko_unified,7.08,7.36,7.08,30.0,432.88300000000015,5.000600000000004,96.37,8.644,8.457,34.63939095747695,53.818921137941466,-0.6438095398848811,0.1656993926
EGFR/HER2,EH40_11,dual,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cc1OC,theta_6_panel120,rdkit_meeko_unified,7.68,6.91,6.91,34.0,451.53000000000014,5.733500000000005,81.07000000000001,10.434000000000001,10.424,33.56574445458018,47.60722703130148,-0.708461248385777,0.5392256975
EGFR/HER2,EH40_12,dual,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,theta_6_panel120,rdkit_meeko_unified,6.75,8.1,6.75,35.0,467.53300000000024,4.021900000000002,98.06000000000002,10.1495,9.735,59.93764699980856,62.14101049890385,0.09238205037227482,0.5872070193
EGFR/HER2,EH40_13,dual,O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC(F)F,theta_6_panel120,rdkit_meeko_unified,8.01,6.61,6.61,36.0,519.9550000000002,5.790400000000004,79.38000000000001,9.8295,9.54,37.7295487498466,41.82083400577024,-0.5325983732445196,0.2651501298
EGFR/HER2,EH40_14,dual,NNC(=O)c1csc2nc(CN3CCOCC3)c(-c3ccc(Br)cc3)n12,theta_6_panel120,rdkit_meeko_unified,6.38,6.92,6.38,26.0,436.335,2.261,84.88999999999999,7.2765,7.019,22.870623764419623,27.62659830481894,-1.5593321892931873,0.5501207113
EGFR/HER2,EH40_15,dual,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,theta_6_panel120,rdkit_meeko_unified,6.18,7.7,6.18,25.0,336.44300000000015,2.7044200000000007,71.48,8.606,8.302,47.036335710055816,54.378570972309674,0.10269655526187536,0.8862076998
EGFR/HER2,EH40_16,A_only,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,theta_6_panel120,rdkit_meeko_unified,7.3,5.99,5.99,29.0,417.33900000000017,7.502300000000004,15.6,10.3605,10.178,39.93985624853908,42.41618468897036,-0.7987236512095773,0.1330377012
EGFR/HER2,EH40_17,A_only,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,theta_6_panel120,rdkit_meeko_unified,7.14,5.93,5.93,29.0,454.3720000000001,4.972400000000004,70.15,8.8135,8.408,37.64313037334304,50.263466068323396,-0.4629335396340821,0.1827307642
