pair,set,matched_summary_min,matched_auroc_D_vs_A,matched_auroc_D_vs_B,matched_weaker_arm,mismatched_summary_min,mismatched_auroc_D_vs_A,mismatched_auroc_D_vs_B,mismatched_weaker_arm,delta,delta_ci_lo,delta_ci_hi,ci_excludes_zero,weaker_arm_switched,n_dual,n_A_only,n_B_only,bootstrap,B,seed,non_stratified_delta_ci_lo,non_stratified_delta_ci_hi,non_stratified_ci_excludes_zero
EGFR/HER2,main_panel,0.3237,0.6564,0.3237,D_vs_B,0.2679,0.6776,0.2679,D_vs_B,0.0558,-0.0368,0.1551,0,0,28,37,32,class_stratified_paired_ligand,2000,20260729,-0.0400,0.1564,0
JAK1/JAK2,main_panel,0.5884,0.5884,0.7275,D_vs_A,0.6074,0.6074,0.7231,D_vs_A,-0.0190,-0.0898,0.0527,0,0,32,32,32,class_stratified_paired_ligand,2000,20260729,-0.0903,0.0538,0
JAK1/TYK2,main_panel,0.3649,0.5751,0.3649,D_vs_B,0.4294,0.5151,0.4294,D_vs_B,-0.0645,-0.1562,0.0323,0,0,31,32,32,class_stratified_paired_ligand,2000,20260729,-0.1542,0.0323,0
PIK3CA/mTOR,main_panel,0.6921,0.7143,0.6921,D_vs_B,0.6019,0.7103,0.6019,D_vs_B,0.0903,-0.1148,0.2639,0,0,18,14,12,class_stratified_paired_ligand,2000,20260729,-0.1222,0.2626,0
AChE/BChE,main_panel,0.6058,0.6524,0.6058,D_vs_B,0.4288,0.4288,0.5582,D_vs_A,0.1770,0.0528,0.2906,1,1,27,26,28,class_stratified_paired_ligand,2000,20260729,0.0510,0.2894,1
F2/F10,main_panel,0.3448,0.4133,0.3448,D_vs_B,0.3755,0.4506,0.3755,D_vs_B,-0.0307,-0.1144,0.0423,0,0,31,32,32,class_stratified_paired_ligand,2000,20260729,-0.1189,0.0438,0
PPARG/PPARA,main_panel,0.6492,0.6492,0.7061,D_vs_A,0.6196,0.6512,0.6196,D_vs_B,0.0296,-0.0803,0.1563,0,1,32,31,32,class_stratified_paired_ligand,2000,20260729,-0.0822,0.1615,0
PPARA/PPARD,main_panel,0.4463,0.6465,0.4463,D_vs_B,0.4346,0.4346,0.4990,D_vs_A,0.0117,-0.0859,0.1416,0,1,32,32,32,class_stratified_paired_ligand,2000,20260729,-0.0921,0.1387,0
