pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
JAK1/JAK2,summary_min,32,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.619,0.0153571,0.660147
JAK1/JAK2,dual_vs_A_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.957,0.0064149,0.751187
JAK1/JAK2,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.949,0.00695694,0.751027
JAK1/JAK2,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.833,0.0117945,0.751458
JAK1/JAK2,summary_min,32,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.917,0.00872416,0.716427
JAK1/TYK2,dual_vs_A_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.042,0.00634319,0.500989
JAK1/TYK2,dual_vs_B_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.049,0.00682635,0.50097
JAK1/TYK2,dual_vs_neither,31,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.068,0.0079609,0.499991
JAK1/TYK2,summary_min,31,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.107,0.00977502,0.461771
JAK1/TYK2,dual_vs_A_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.09,0.00904986,0.547164
JAK1/TYK2,dual_vs_B_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.108,0.00981509,0.553617
JAK1/TYK2,dual_vs_neither,31,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.092,0.0091398,0.544182
JAK1/TYK2,summary_min,31,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.03,0.00539444,0.506795
JAK1/TYK2,dual_vs_A_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.285,0.014275,0.603222
JAK1/TYK2,dual_vs_B_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.31,0.0146253,0.601874
JAK1/TYK2,dual_vs_neither,31,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.206,0.0127892,0.600581
