pair,pocket,auroc_dual_vs_selective,auroc_dual_vs_neither,delta,delta_ci_lo,delta_ci_hi
EGFR/HER2,A,0.3236607142857143,0.7857142857142857,0.4620535714285714,0.26003534226190483,0.6369233630952381
EGFR/HER2,B,0.6607142857142857,0.7380952380952381,0.07738095238095244,-0.13008693609022556,0.2688087406015036
JAK1/JAK2,A,0.7275390625,0.7232142857142857,-0.004324776785714302,-0.16840820312500002,0.16450544084821417
JAK1/JAK2,B,0.58837890625,0.7299107142857143,0.1415318080357143,-0.05595354352678576,0.34390345982142845
JAK1/TYK2,A,0.3649193548387097,0.8087557603686636,0.4438364055299539,0.2583381336405529,0.6201108870967742
JAK1/TYK2,B,0.5751008064516129,0.7050691244239631,0.1299683179723502,-0.04798207085253453,0.3044660858294928
PIK3CA/mTOR,A,0.6921296296296297,0.4722222222222222,-0.21990740740740744,-0.5185185185185185,0.01620370370370372
PIK3CA/mTOR,B,0.7142857142857143,0.5833333333333334,-0.13095238095238093,-0.4384920634920635,0.17658730158730157
AChE/BChE,A,0.6058201058201058,0.5901234567901235,-0.015696649029982357,-0.14435846560846563,0.11931657848324519
AChE/BChE,B,0.6524216524216524,0.7086419753086419,0.05622032288698953,-0.09319325735992402,0.19658119658119655
F2/F10,A,0.34475806451612906,0.5080645161290323,0.1633064516129032,-0.0030661962365591605,0.33403057795698915
F2/F10,B,0.41330645161290325,0.5282258064516129,0.11491935483870963,-0.013449260752688161,0.2513608870967741
PPARG/PPARA,A,0.7060546875,0.7589285714285714,0.0528738839285714,-0.13324497767857144,0.2257254464285714
PPARG/PPARA,B,0.6491935483870968,0.6439732142857143,-0.005220334101382451,-0.21549989199308753,0.18182423675115195
PPARA/PPARD,A,0.4462890625,0.484375,0.0380859375,-0.1367222377232143,0.22126813616071422
PPARA/PPARD,B,0.646484375,0.6651785714285714,0.018694196428571397,-0.18109305245535715,0.19701102120535696
