pair,auroc_mean_D_vs_neither,ci_lo,ci_hi,n_neither
EGFR/HER2,0.7589285714285714,0.5534970238095238,0.9255952380952381,12
JAK1/JAK2,0.7299107142857143,0.5579799107142858,0.8817522321428569,14
JAK1/TYK2,0.7695852534562212,0.6128456221198156,0.9055299539170507,14
PIK3CA/mTOR,0.5138888888888888,0.2222222222222222,0.8055555555555556,4
AChE/BChE,0.6493827160493827,0.4839506172839506,0.8099382716049379,15
F2/F10,0.5188172043010753,0.3413306451612903,0.6908602150537635,12
PPARG/PPARA,0.6852678571428571,0.49776785714285715,0.8594308035714283,14
PPARA/PPARD,0.5647321428571429,0.37271205357142856,0.7477678571428571,14
