pair,n_dual,n_A_only,n_B_only,n_neither,n_complete_case,n_missing_score_A,n_missing_score_B,n_class_pchembl_mismatch
EGFR/HER2,28,38,32,12,110,0,0,0
JAK1/JAK2,32,32,32,14,110,0,0,0
JAK1/TYK2,31,32,32,14,109,0,0,0
PIK3CA/mTOR,18,14,12,4,48,0,0,0
AChE/BChE,27,26,28,15,96,0,0,0
F2/F10,31,32,32,12,107,0,0,0
PPARG/PPARA,32,31,32,14,109,0,0,0
PPARA/PPARD,32,32,32,14,110,0,0,0
