pair,arm,ligand_id,scaffold,fold_id,class,n_splits
EGFR/HER2,D_vs_A,EH120_041,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,0,dual,5
EGFR/HER2,D_vs_A,EH120_042,O=C(CNc1n[nH]c2ncccc12)Nc1cc2c(s1)CCCC2,4,dual,5
EGFR/HER2,D_vs_A,EH120_043,O=C1CCCC2=C1C(c1ccc(S(=O)(=O)c3ccccc3)cc1)C=CN2,0,dual,5
EGFR/HER2,D_vs_A,EH120_044,O=C(C#CCCN1CCNCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,3,dual,5
EGFR/HER2,D_vs_A,EH120_045,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,4,dual,5
EGFR/HER2,D_vs_A,EH120_046,c1ccc(Nc2ncnc3cc(OC4CCOC4)c(OC4CCNCC4)cc23)cc1,4,dual,5
EGFR/HER2,D_vs_A,EH120_047,c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)nc1,4,dual,5
EGFR/HER2,D_vs_A,EH120_048,c1ccc(Nc2ncnc3cnccc23)cc1,1,dual,5
EGFR/HER2,D_vs_A,EH120_049,O=C(C#CCCN1CCNCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,3,dual,5
EGFR/HER2,D_vs_A,EH120_050,O=C(C=CC1CCCN1)Nc1ccc2ncnc(Nc3ccc(Oc4cc5nccn5cn4)cc3)c2c1,3,dual,5
EGFR/HER2,D_vs_A,EH120_051,c1ccc(Nc2ncnc3cnccc23)cc1,1,dual,5
EGFR/HER2,D_vs_A,EH120_052,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccccc3)ncnc2cn1,4,dual,5
EGFR/HER2,D_vs_A,EH120_053,c1ccc(CNc2cnc(-c3ccccc3)c(-c3ccc4[nH]ncc4c3)c2)cc1,2,dual,5
EGFR/HER2,D_vs_A,EH120_054,c1ccc(Nc2ncnc3ccccc23)cc1,0,A_only,5
EGFR/HER2,D_vs_A,EH120_055,c1ccc(Nc2ncnc3ccccc23)cc1,0,A_only,5
