pair,n,k,top_D_A_B_N,ef_dual_10pct
EGFR/HER2,110,11,1/5/5/0,0.3571428571428572
JAK1/JAK2,110,11,6/5/0/0,1.875
JAK1/TYK2,109,11,1/3/7/0,0.3196480938416422
PIK3CA/mTOR,48,5,4/1/0/0,2.1333333333333333
AChE/BChE,96,10,5/3/1/1,1.7777777777777777
F2/F10,107,11,4/1/6/0,1.2551319648093844
PPARG/PPARA,109,11,7/3/0/1,2.1676136363636362
PPARA/PPARD,110,11,5/2/3/1,1.5625
