pair,ligand_id,molecule_chembl_id,analysis_set,pA,pB,class,class_from_pchembl,score_A,score_B,score_mean,score_worst,complete_case,score_source
EGFR/HER2,EH120_041,CHEMBL941,main,9.96,10.22,dual,dual,10.351,10.933,10.642,10.351,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_042,CHEMBL5221067,main,9.33,9.85,dual,dual,9.332,9.488,9.41,9.332,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_043,CHEMBL5881155,main,9.66,9.22,dual,dual,8.557,9.049,8.803,8.557,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_044,CHEMBL203599,main,9.3,9.15,dual,dual,10.764,9.63,10.197,9.63,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_045,CHEMBL1873475,main,9.3,9.12,dual,dual,9.647,9.787,9.717,9.647,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_046,CHEMBL5282641,main,10.28,9.02,dual,dual,9.88,9.834,9.857,9.834,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_047,CHEMBL180022,main,10.7,9.0,dual,dual,10.125,9.03,9.5775,9.03,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_048,CHEMBL203644,main,9.52,8.96,dual,dual,9.27,8.325,8.7975,8.325,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_049,CHEMBL437890,main,8.96,9.3,dual,dual,9.952,9.767,9.8595,9.767,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_050,CHEMBL5176920,main,8.96,8.97,dual,dual,10.175,9.841,10.008,9.841,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_051,CHEMBL54091,main,9.14,8.96,dual,dual,8.907,8.283,8.594999999999999,8.283,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_052,CHEMBL203661,main,8.89,9.1,dual,dual,10.071,9.899,9.985,9.899,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_053,CHEMBL4075917,main,8.89,9.0,dual,dual,10.081,10.662,10.371500000000001,10.081,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_054,CHEMBL29197,main,10.6,5.27,A_only,A_only,7.386,7.677,7.531499999999999,7.386,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_055,CHEMBL93464,main,9.26,4.04,A_only,A_only,9.061,8.322,8.6915,8.322,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_056,CHEMBL4078431,main,9.52,5.22,A_only,A_only,8.027,8.027,8.027,8.027,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_057,CHEMBL53753,main,7.89,4.28,A_only,A_only,7.531,7.703,7.617,7.531,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_058,CHEMBL3357643,main,9.28,5.81,A_only,A_only,9.741,9.247,9.494,9.247,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_059,CHEMBL305194,main,7.54,4.31,A_only,A_only,9.241,8.698,8.9695,8.698,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
