pair,auroc_D_vs_A_pocketB,ci_lo,ci_hi,auroc_D_vs_B_pocketA,ci_lo_B,ci_hi_B,n_dual,n_A_only,n_B_only,bootstrap,second_impl_agrees
EGFR/HER2,0.6607142857142857,0.5225328947368422,0.7904135338345865,0.3236607142857143,0.18635602678571428,0.47098214285714285,28,38,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
JAK1/JAK2,0.58837890625,0.44188232421875,0.7246215820312499,0.7275390625,0.5986083984375,0.8427734375,32,32,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
JAK1/TYK2,0.5751008064516129,0.43548387096774194,0.7217741935483871,0.3649193548387097,0.23182963709677418,0.5100806451612904,31,32,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
PIK3CA/mTOR,0.7142857142857143,0.5157738095238096,0.8928571428571429,0.6921296296296297,0.49074074074074076,0.8658564814814808,18,14,12,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
AChE/BChE,0.6524216524216524,0.4871082621082621,0.8077279202279201,0.6058201058201058,0.4537037037037037,0.753968253968254,27,26,28,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
F2/F10,0.41330645161290325,0.2711441532258065,0.5665826612903223,0.34475806451612906,0.2136844758064516,0.4899445564516128,31,32,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
PPARG/PPARA,0.6491935483870968,0.5040070564516129,0.7893145161290323,0.7060546875,0.5732177734375,0.8271972656249997,32,31,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
PPARA/PPARD,0.646484375,0.5078125,0.7695800781249997,0.4462890625,0.3007568359375,0.59765625,32,32,32,class-stratified; summary_min and matched-mismatch share dual draws; B=2000 seed=20260729,True
