pair,aggregation,n_dual,n_A_only,n_B_only,summary_min,ci_lo,ci_hi,auroc_D_vs_A,auroc_D_vs_B,source,bootstrap,B,seed
EGFR/HER2,max,28,38,32,0.3237,0.1919,0.4632,0.6607,0.3237,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
EGFR/HER2,median,26,35,33,0.3135,0.1818,0.4534,0.6341,0.3135,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
JAK1/JAK2,max,32,32,32,0.5884,0.4482,0.7158,0.5884,0.7275,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
JAK1/JAK2,median,32,32,32,0.5884,0.4482,0.7158,0.5884,0.7275,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
JAK1/TYK2,max,31,32,32,0.3649,0.2329,0.5051,0.5751,0.3649,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
JAK1/TYK2,median,31,32,32,0.3649,0.2329,0.5051,0.5751,0.3649,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PIK3CA/mTOR,max,18,14,12,0.6921,0.4801,0.8016,0.7143,0.6921,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PIK3CA/mTOR,median,18,14,12,0.6921,0.4801,0.8016,0.7143,0.6921,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
AChE/BChE,max,27,25,28,0.6058,0.4429,0.7395,0.6504,0.6058,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
AChE/BChE,median,26,25,28,0.6291,0.4670,0.7459,0.6754,0.6291,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
F2/F10,max,31,32,32,0.3448,0.2157,0.4819,0.4133,0.3448,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
F2/F10,median,31,32,32,0.3448,0.2157,0.4819,0.4133,0.3448,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PPARG/PPARA,max,32,31,32,0.6492,0.5111,0.7460,0.6492,0.7061,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PPARG/PPARA,median,32,31,32,0.6492,0.5111,0.7460,0.6492,0.7061,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PPARA/PPARD,max,32,32,32,0.4463,0.3008,0.5898,0.6465,0.4463,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
PPARA/PPARD,median,32,31,32,0.4463,0.3018,0.5867,0.6361,0.4463,ChEMBL37 dump-gated max/median + current score master,class_stratified_shared_dual,2000,20260729
