pair,n_dual,n_A_only,n_B_only,vina_summary_min,vina_D_vs_A,vina_D_vs_B,best_descriptor,best_descriptor_selection,best_descriptor_summary_min,vina_minus_best_descriptor,delta_ci_lo,delta_ci_hi,nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_D_vs_A,nested_scaffold_cv_oof_D_vs_B,nested_selected_D_vs_A_mode,nested_selected_D_vs_B_mode,nested_n_splits,predictive_descriptor_estimate,bootstrap,B,seed,tpsa_D_vs_A,tpsa_D_vs_B,tpsa_summary_min,clogp_D_vs_A,clogp_D_vs_B,clogp_summary_min,heavy_D_vs_A,heavy_D_vs_B,heavy_summary_min,mw_D_vs_A,mw_D_vs_B,mw_summary_min
EGFR/HER2,28,37,31,0.3341,0.6631,0.3341,clogp,full_panel_descriptive_univariate_screen,0.4735,-0.1394,-0.2869,0.0288,0.4171,0.5820,0.4171,tpsa,clogp,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.7201,0.4389,0.4389,0.5212,0.4735,0.4735,0.6969,0.3652,0.3652,0.6429,0.4136,0.4136
JAK1/JAK2,32,32,32,0.5884,0.5884,0.7275,heavy,full_panel_descriptive_univariate_screen,0.5781,0.0103,-0.0811,0.1582,0.5996,0.5996,0.7803,tpsa,tpsa,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.5698,0.7803,0.5698,0.5073,0.4795,0.4795,0.5801,0.5781,0.5781,0.5649,0.6367,0.5649
JAK1/TYK2,31,32,32,0.3649,0.5751,0.3649,clogp,full_panel_descriptive_univariate_screen,0.5796,-0.2147,-0.3760,-0.0091,0.5630,0.5630,0.5796,clogp,clogp,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.5968,0.4254,0.4254,0.6139,0.5796,0.5796,0.5837,0.3690,0.3690,0.5262,0.3891,0.3891
PIK3CA/mTOR,18,14,12,0.6921,0.7143,0.6921,heavy,full_panel_descriptive_univariate_screen,0.4630,0.2292,0.0086,0.4372,0.3542,0.5198,0.3542,clogp,tpsa,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.2599,0.4514,0.2599,0.5198,0.3102,0.3102,0.4643,0.4630,0.4630,0.4484,0.4722,0.4484
AChE/BChE,27,26,28,0.6058,0.6524,0.6058,tpsa,full_panel_descriptive_univariate_screen,0.7422,-0.1363,-0.3125,0.0385,0.7422,0.7422,0.8009,tpsa,tpsa,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.7422,0.8009,0.7422,0.5484,0.4669,0.4669,0.5969,0.5820,0.5820,0.5819,0.5860,0.5819
F2/F10,31,32,32,0.3448,0.4133,0.3448,clogp,full_panel_descriptive_univariate_screen,0.5091,-0.1643,-0.3175,-0.0050,0.4768,0.4768,0.5474,tpsa,clogp,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.5670,0.3059,0.3059,0.5091,0.5474,0.5091,0.4738,0.3614,0.3614,0.5131,0.3891,0.3891
PPARG/PPARA,32,31,32,0.6492,0.6492,0.7061,tpsa,full_panel_descriptive_univariate_screen,0.6274,0.0218,-0.1667,0.1805,0.4595,0.7399,0.4595,tpsa,heavy,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.7399,0.6274,0.6274,0.4879,0.6235,0.4879,0.5060,0.6523,0.5060,0.4758,0.5723,0.4758
PPARA/PPARD,32,32,32,0.4463,0.6465,0.4463,clogp,full_panel_descriptive_univariate_screen,0.5635,-0.1172,-0.3262,0.0987,0.4756,0.7129,0.4756,clogp,clogp,5,nested_scaffold_cv_oof_summary_min,class_stratified_shared_dual,2000,20260729,0.3999,0.3506,0.3506,0.6650,0.5635,0.5635,0.6328,0.4902,0.4902,0.6494,0.4365,0.4365
