diverse_rank,repurposing_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry,name,chembl_id,canonical_smiles,inchi_key,max_phase,atc_code,scaffold,p_active_nlrp3,nlrp3_percentile,selection_reason,pains_any,brenk,nih,aggregation_risk_heuristic,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,pass_veber,pass_ro5_hb,pass_mw_200_550,pass_chemistry_soft,has_carboxylate,has_tetrazole,has_acyl_sulfonamide,mw_acid,hbd_acid,hba_acid,logp,tpsa_acid,rotbonds,arg_pass_a1,arg_pass_classic_4A,alert_clean,is_known_reference,is_cephalosporin_like,is_antibacterial_soft,shortlist_role,nomination_status,md_authorized
1,REP_00940,True,2.913446412755867,0.816896975,7.38613653,True,0.55553937,6.61936522,True,LANIFIBRANOR,CHEMBL4091374,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,3.0,,O=S(=O)(c1ccc2ncsc2c1)n1ccc2ccccc21,0.9166666,85.41892054333454,nlrp3_p_active_ge_threshold,False,False,False,False,0.4805168891217947,434.92600000000016,4.548700000000003,89.26,1,6,28,True,True,True,True,True,True,True,True,True,False,False,434.92600000000016,1,5,4.548700000000003,89.26,6,True,True,True,False,False,False,primary,draft_frozen_for_review,False
2,REP_00992,True,3.0243510047611752,0.673511803,6.54150391,True,0.933082283,7.05069494,True,CAFICRESTAT,CHEMBL4297455,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,YRGPAXAVTDMKDK-UHFFFAOYSA-N,3.0,,O=c1c2nccnc2cnn1Cc1nc2ccccc2s1,0.57095164,81.5482630123813,nlrp3_p_active_ge_threshold,False,False,False,False,0.5389356451894136,421.3600000000001,2.4904,110.86,1,8,29,True,True,True,True,True,True,True,True,True,False,False,421.3600000000001,1,7,2.4904,110.86,4,True,True,True,False,False,False,primary,draft_frozen_for_review,False
3,REP_01147,True,3.0838887787986105,0.830628335,7.23662901,True,0.769597828,6.02315283,True,ADMILPARANT,CHEMBL5087506,CCCN(C)C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)c(C)n2)nnn1C,UEUNDURNLYLSNB-HOTGVXAUSA-N,3.0,,c1cc(-c2c[nH]nn2)ncc1OC1CCCCC1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,False,False,0.6578011549645414,445.5200000000002,3.1861200000000016,119.67000000000002,1,8,32,True,True,True,True,True,True,True,True,True,False,False,445.5200000000002,1,7,3.1861200000000016,119.67000000000002,8,True,True,True,False,False,False,backup,draft_frozen_for_review,False
4,REP_06119,True,2.9966464589604134,0.635743916,6.08600235,True,0.672377706,5.8837142,True,CAVOSONSTAT,CHEMBL3989910,O=C(O)c1ccc(-c2ccc3cc(O)ccc3n2)c(Cl)c1,BXSZILNGNMDGSL-UHFFFAOYSA-N,2.0,,c1ccc(-c2ccc3ccccc3n2)cc1,1.0,98.35917778579156,nlrp3_p_active_ge_threshold,False,False,False,False,0.7511717125374576,299.713,3.9590000000000014,70.42,2,3,21,True,True,True,True,True,True,True,True,True,False,False,299.713,2,3,3.9590000000000014,70.42,2,True,True,True,False,False,False,backup,draft_frozen_for_review,False
5,REP_06643,True,3.0861022342106565,0.85463959,7.48018408,True,0.650032461,7.00301981,True,RUNCACIGUAT,CHEMBL4650322,C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,NCRMKIWHFXSBGZ-CNBXIYLPSA-N,2.0,,O=C(Cc1ccccc1)Nc1cccc(CC2CC2)c1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,False,False,0.4257605562503772,488.333,6.882400000000004,66.4,2,2,32,False,True,False,False,True,True,True,True,True,False,False,488.333,2,2,6.882400000000004,66.4,8,True,True,True,False,False,False,backup,draft_frozen_for_review,False
