repurposing_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry,name,chembl_id,canonical_smiles,inchi_key,max_phase,atc_code,scaffold,p_active_nlrp3,nlrp3_percentile,selection_reason,pains_any,brenk,nih,aggregation_risk_heuristic,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,pass_veber,pass_ro5_hb,pass_mw_200_550,pass_chemistry_soft,has_carboxylate,has_tetrazole,has_acyl_sulfonamide,mw_acid,hbd_acid,hba_acid,logp,tpsa_acid,rotbonds,arg_pass_a1,arg_pass_classic_4A,alert_clean,is_known_reference,is_cephalosporin_like,is_antibacterial_soft
REP_08210,True,3.1765190067115903,0.845389128,7.5578475,True,0.815809846,7.53336573,True,CR-3465 FREE ACID,CHEMBL5316169,O=C(N[C@@H](Cc1ccc(OCc2ccc3ccc(F)cc3n2)cc1)C(=O)O)c1ccc2ccccc2n1,XBKBJNOSNDZQGN-MHZLTWQESA-N,1.0,,O=C(NCCc1ccc(OCc2ccc3ccccc3n2)cc1)c1ccc2ccccc2n1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,False,False,0.3167076267747203,495.5100000000002,4.926800000000004,101.41,2,5,37,True,True,False,True,True,True,True,True,True,False,False,495.5100000000002,2,5,4.926800000000004,101.41,8,True,True,True,False,False,False
REP_07580,True,3.2377540054797214,0.642952561,7.19753408,True,0.623751402,6.97798109,True,PF-03882845,CHEMBL1215331,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,XNULRSOGWPFPBL-REWPJTCUSA-N,1.0,,c1ccc(N2N=C3c4ccccc4CCC3C2C2CCCC2)cc1,1.0,98.35917778579156,nlrp3_p_active_ge_threshold,False,False,False,False,0.7360321551748457,419.91200000000026,5.255380000000004,76.69,1,4,30,False,True,True,True,True,True,True,True,True,False,False,419.91200000000026,1,4,5.255380000000004,76.69,3,True,True,True,False,False,False
REP_07704,True,3.4848779031696333,0.684087932,6.54660273,True,0.647723436,6.62993622,True,PSI-697,CHEMBL219046,O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3,DIEPFYNZGUUVHD-UHFFFAOYSA-N,1.0,,c1ccc(Cc2ccc3ccc4c(c3n2)CCCC4)cc1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,False,False,0.6996452812674512,367.8320000000003,4.761600000000003,70.42,2,3,26,True,True,True,True,True,True,True,True,True,False,False,367.8320000000003,2,3,4.761600000000003,70.42,3,True,True,True,False,False,False
REP_05288,True,4.069173626180128,0.510509193,7.46176529,True,0.503210306,6.83568525,True,TERBOGREL,CHEMBL281398,CC(C)(C)N/C(=N\C#N)Nc1cccc(/C(=C\CCCC(=O)O)c2cccnc2)c1,XUTLOCQNGLJNSA-RGVLZGJSSA-N,2.0,,C=C(c1ccccc1)c1cccnc1,0.91666675,95.30592619305204,nlrp3_p_active_ge_threshold,False,True,False,False,0.2724024997245853,405.5020000000001,4.405280000000003,110.4,3,4,30,True,True,True,True,True,True,True,True,True,False,False,405.5020000000001,3,4,4.405280000000003,110.4,7,True,False,False,False,False,False
REP_00950,True,4.402491226567064,0.724445939,7.09229898,True,0.649919927,6.98062706,True,TONAPOFYLLINE,CHEMBL414157,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,ZWTVVWUOTJRXKM-UHFFFAOYSA-N,3.0,,O=c1[nH]c(=O)c2[nH]c(C34CCC(CC3)CC4)nc2[nH]1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,False,False,0.686771841763158,416.5220000000003,3.163100000000002,109.98,2,6,30,True,True,True,True,True,True,True,True,True,False,False,416.5220000000003,2,4,3.163100000000002,109.98,8,True,False,True,False,False,False
REP_07825,True,4.474998324022027,0.869004071,8.01220226,True,0.664161801,6.90873766,True,MK-5108,CHEMBL3600873,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,LCVIRAZGMYMNNT-VVONHTQRSA-N,1.0,,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,1.0,98.35917778579156,nlrp3_p_active_ge_threshold,False,False,False,False,0.4685133967446258,461.94600000000025,5.709300000000003,84.34,2,6,31,False,True,False,False,True,True,True,True,True,False,False,461.94600000000025,2,6,5.709300000000003,84.34,7,True,False,True,False,False,False
REP_05470,True,5.535020596167638,0.791874707,7.6864295,True,0.830967784,6.87684774,True,RADALBUVIR,CHEMBL3121539,CC1=CC[C@H](C(=O)N(c2cc(C#CC(C)(C)C)sc2C(=O)O)[C@H]2CC[C@](O)(CO[C@H]3CCOC3)CC2)CC1,MUICUPWICXUNRS-GDCCIXDYSA-N,2.0,,O=C(C1CC=CCC1)N(c1ccsc1)C1CCC(COC2CCOC2)CC1,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,True,False,False,0.3530528693898637,543.7260000000002,5.402500000000005,96.3,2,6,38,False,True,False,True,True,True,True,True,True,False,False,543.7260000000002,2,6,5.402500000000005,96.3,7,True,False,False,False,False,False
REP_05302,True,6.267380712865613,0.762060285,6.75742722,True,0.664981306,6.91635466,True,SPIROGLUMIDE,CHEMBL283820,O=C(O)CC[C@@H](NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1,FJCZHMXAGBYXHJ-QGZVFWFLSA-N,2.0,,O=C(NCC(=O)N1CCC2(CCCC2)CC1)c1ccccc1,0.78337806,83.31530231999038,nlrp3_p_active_ge_threshold,False,False,False,False,0.6949672331835018,441.3550000000004,4.139400000000004,86.71,2,3,29,True,True,True,True,True,True,True,True,True,False,False,441.3550000000004,2,3,4.139400000000004,86.71,6,True,False,True,False,False,False
REP_04687,True,6.450953030366906,0.690454125,6.63474989,True,0.97669673,7.17908335,True,CEFAZAFLUR,CHEMBL2110623,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSC(F)(F)F)[C@H]2SC1,HGXLJRWXCXSEJO-GMSGAONNSA-N,2.0,,O=C1CC2SCC(CSc3nnn[nH]3)=CN12,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,True,False,0.423641358501966,470.4800000000001,0.2938000000000003,130.31,2,10,29,True,True,True,True,True,True,True,True,True,False,False,470.4800000000001,2,9,0.2938000000000003,130.31,7,True,False,True,False,True,True
REP_06875,True,6.878127942979834,0.605334997,6.95511198,True,0.534676671,7.11669588,True,FULIMETIBANT,CHEMBL5095100,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,DFQFSWDEFZCQLH-UHFFFAOYSA-N,2.0,,O=C(Nc1ccc(-c2cnn(C3CCC3)c2)cc1)C1(c2ccccc2)CC1,1.0,98.35917778579156,nlrp3_p_active_ge_threshold,False,False,False,False,0.4305861616256543,487.4530000000003,5.801500000000004,84.22,2,4,35,False,True,False,False,True,True,True,True,True,False,False,487.4530000000003,2,3,5.801500000000004,84.22,6,True,False,True,False,False,False
REP_02354,True,6.968726928212923,0.761400223,6.19930267,True,0.778140068,6.10552931,True,CEFCANEL,CHEMBL1908354,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](O)c4ccccc4)[C@H]3SC2)s1,VDFFPBOAOLQAJV-SUYBPPKGSA-N,2.0,,O=C(Cc1ccccc1)NC1C(=O)N2C=C(CSc3nncs3)CSC12,0.9166667,90.38946988820771,nlrp3_p_active_ge_threshold,False,False,True,False,0.3989670332432812,478.57700000000017,1.4108200000000002,132.71999999999997,3,9,31,True,True,True,True,True,True,True,True,True,False,False,478.57700000000017,3,9,1.4108200000000002,132.71999999999997,7,True,False,True,False,True,True
REP_07635,True,7.130271313211013,0.720851183,7.13333654,True,0.524357557,6.39549971,True,PF-04620110,CHEMBL1835919,Nc1ncnc2c1C(=O)N(c1ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc1)CCO2,GEVVQZHMFVFGLN-HDJSIYSDSA-N,1.0,,O=C1c2cncnc2OCCN1c1ccc(C2CCCCC2)cc1,1.0,98.35917778579156,nlrp3_p_active_ge_threshold,False,False,False,False,0.8154437215834872,396.4470000000002,2.8465000000000016,118.64,2,6,29,True,True,True,True,True,True,True,True,True,False,False,396.4470000000002,2,6,2.8465000000000016,118.64,4,True,False,True,False,False,False
REP_08014,True,7.150813799841244,0.674474418,6.94076681,True,0.519792855,7.13025331,True,KIO-100,CHEMBL4580266,O=C(Nc1c(F)c(F)c(-c2cccc(OC(F)(F)F)c2)c(F)c1F)c1ccsc1C(=O)O,VNDUHYWEWRRBFJ-UHFFFAOYSA-N,1.0,,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccsc1,0.9166666,85.41892054333454,nlrp3_p_active_ge_threshold,False,True,False,False,0.3573270481888814,479.3290000000001,5.8206000000000016,75.63,2,4,32,False,True,False,False,True,True,True,True,True,False,False,479.3290000000001,2,4,5.8206000000000016,75.63,5,True,False,False,False,False,False
REP_05141,True,7.675933102887225,0.654662669,6.34944534,True,0.650252998,6.68000269,True,LINTITRIPT,CHEMBL249973,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,ILNRQFBVVQUOLP-UHFFFAOYSA-N,2.0,,O=C(Nc1nc(-c2ccccc2)cs1)c1cc2ccccc2[nH]1,0.9166666,85.41892054333454,nlrp3_p_active_ge_threshold,False,False,False,False,0.4957458681975341,411.8700000000001,4.755100000000002,84.22,2,5,28,True,True,True,True,True,True,True,True,True,False,False,411.8700000000001,2,4,4.755100000000002,84.22,5,True,False,True,False,False,False
