ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,pose_selection_status,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry,repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason,keep_seed42,arg_seed42,keep_seed43,arg_seed43,keep_seed44,arg_seed44,n_seed_pass,stable_ge_2of3,pains_any,brenk,nih,aggregation_risk_heuristic,qed,mw_admet,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,keep_nlrp3_pose,keep_nlrp3_structural,pocket_overlap_frac,ifp_jaccard_vs_np3146,n_key_contacts,key_recovery_frac,n_CNNscore_structural,alert_clean,arg_classic_4A,soft_excluded
REP_00207,True,3.926722042620269,0.670793176,6.56401682,a2_geometry_then_cnnscore,0.939515471,6.63356161,True,REP_00207,CHEMBL2105720,LESINURAD,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,FGQFOYHRJSUHMR-UHFFFAOYSA-N,404.29,4.0,,False,True,True,benchmark_forced,URAT1_POS_01,Small molecule,MOL,0.59704274,81.82473855030653,True,,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,1513,nlrp3_p_active_ge_threshold,True,3.926722042620269,True,7.019541366784582,True,3.05964148226552,3,True,False,False,False,False,0.6447720583090041,404.28900000000016,4.2371000000000025,68.00999999999999,1,5,24,True,True,True,True,True,True,1.0,0.9473684210526316,7,1.0,0.939515471,True,True,False
REP_00697,True,2.890898476252661,0.581627667,5.7125144,a2_geometry_then_cnnscore,0.70193249,5.98905182,True,REP_00697,CHEMBL2107786,TERUTROBAN,Cc1ccc2c(c1CCC(=O)O)CC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C2,HWEOXFSBSQIWSY-MRXNPFEDSA-N,407.92,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,O=S(=O)(NC1CCc2ccccc2C1)c1ccccc1,482,nlrp3_p_active_ge_threshold,True,2.890898476252661,True,3.3432207525079645,True,3.324754727795713,3,True,False,False,False,False,0.7671257368531635,407.9190000000002,3.501420000000002,83.47,2,3,27,True,True,True,True,True,True,0.5555555555555556,0.6842105263157895,5,0.7142857142857143,0.70193249,True,True,False
REP_00729,True,2.9121088578554124,0.792883277,6.2142067,a2_geometry_then_cnnscore,0.531196773,6.64506483,True,REP_00729,CHEMBL222645,FLOXACILLIN,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,UIOFUWFRIANQPC-JKIFEVAISA-N,453.88,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,681,nlrp3_p_active_ge_threshold,True,2.9121088578554124,True,5.50656925862192,True,5.728721410576712,3,True,False,False,True,False,0.6840735128490479,453.8790000000002,2.6878199999999994,112.74,2,6,30,True,True,True,True,True,True,0.9666666666666668,0.7368421052631579,5,0.7142857142857143,0.531196773,True,True,False
REP_00940,True,2.913446412755867,0.816896975,7.38613653,a2_geometry_then_cnnscore,0.55553937,6.61936522,True,REP_00940,CHEMBL4091374,LANIFIBRANOR,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,434.93,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=S(=O)(c1ccc2ncsc2c1)n1ccc2ccccc21,1154,nlrp3_p_active_ge_threshold,True,2.913446412755867,True,2.8190070947055066,True,3.107483065118775,3,True,False,False,False,False,0.4805168891217947,434.92600000000016,4.548700000000003,89.26,1,6,28,True,True,True,True,True,True,0.8928571428571429,0.8421052631578947,6,0.8571428571428571,0.55553937,True,True,False
REP_00944,True,5.651778304215403,0.435148835,6.72497129,a2_geometry_then_cnnscore,0.79643327,6.63690042,True,REP_00944,CHEMBL411070,GLYCOCHOLIC ACID,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,465.63,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,C1CCC2C(C1)CCC1C3CCCC3CCC21,1259,nlrp3_p_active_ge_threshold,True,5.651778304215403,True,5.559234749495647,True,5.202974726058164,3,True,False,False,False,False,0.4102900871309047,465.6310000000003,2.564899999999999,127.09000000000002,5,5,33,True,True,True,True,True,True,0.8181818181818182,0.7,5,0.7142857142857143,0.79643327,True,False,False
REP_00950,True,4.402491226567064,0.724445939,7.09229898,a2_geometry_then_cnnscore,0.649919927,6.98062706,True,REP_00950,CHEMBL414157,TONAPOFYLLINE,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,ZWTVVWUOTJRXKM-UHFFFAOYSA-N,416.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=c1[nH]c(=O)c2[nH]c(C34CCC(CC3)CC4)nc2[nH]1,914,nlrp3_p_active_ge_threshold,True,4.402491226567064,True,5.024337269730205,False,6.406445660426697,2,True,False,False,False,False,0.686771841763158,416.5220000000003,3.163100000000002,109.98,2,6,30,True,True,True,True,True,True,0.7333333333333333,0.8421052631578947,6,0.8571428571428571,0.649919927,True,False,False
REP_00992,True,3.0243510047611752,0.673511803,6.54150391,a2_geometry_then_cnnscore,0.933082283,7.05069494,True,REP_00992,CHEMBL4297455,CAFICRESTAT,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,YRGPAXAVTDMKDK-UHFFFAOYSA-N,421.36,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.57095164,81.5482630123813,True,,O=c1c2nccnc2cnn1Cc1nc2ccccc2s1,1536,nlrp3_p_active_ge_threshold,True,3.0243510047611752,True,6.405646337412011,True,6.540052675628841,3,True,False,False,False,False,0.5389356451894136,421.3600000000001,2.4904,110.86,1,8,29,True,True,True,True,True,True,0.9655172413793104,0.8421052631578947,6,0.8571428571428571,0.933082283,True,True,False
REP_01147,True,3.0838887787986105,0.830628335,7.23662901,a2_geometry_then_cnnscore,0.769597828,6.02315283,True,REP_01147,CHEMBL5087506,ADMILPARANT,CCCN(C)C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)c(C)n2)nnn1C,UEUNDURNLYLSNB-HOTGVXAUSA-N,445.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1cc(-c2c[nH]nn2)ncc1OC1CCCCC1,539,nlrp3_p_active_ge_threshold,True,3.0838887787986105,True,5.526088037662807,False,5.514725378475338,2,True,False,False,False,False,0.6578011549645414,445.5200000000002,3.1861200000000016,119.67000000000002,1,8,32,True,True,True,True,True,True,0.96875,0.8947368421052632,6,0.8571428571428571,0.769597828,True,True,False
REP_01178,True,2.9615798148960906,0.705230296,7.08492422,a2_geometry_then_cnnscore,0.688225806,6.69010925,True,REP_01178,CHEMBL519504,ALEGLITAZAR,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,DAYKLWSKQJBGCS-NRFANRHFSA-N,437.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(-c2nc(CCOc3cccc4sccc34)co2)cc1,1045,nlrp3_p_active_ge_threshold,True,2.9615798148960906,True,2.9411332849770697,True,2.877090891855868,3,True,False,False,False,True,0.3909853027431884,437.51700000000017,5.128320000000005,81.79,1,6,31,False,True,True,True,True,True,0.7096774193548387,0.75,6,0.8571428571428571,0.688225806,True,True,False
REP_01474,True,6.979825642521445,0.566199183,6.5304451,a2_geometry_then_cnnscore,0.591802955,6.36959457,True,REP_01474,CHEMBL1201391,TENIVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,XWLXKKNPFMNSFA-HGQWONQESA-N,436.59,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C1=CC2=CCCCC2CC1,711,nlrp3_p_active_ge_threshold,True,6.979825642521445,True,5.1994154479133465,False,,2,True,False,False,False,False,0.4454130269211328,436.5890000000002,4.105700000000003,104.06000000000002,3,5,31,True,True,True,True,True,True,0.967741935483871,0.7894736842105263,6,0.8571428571428571,0.591802955,True,False,False
