arm,n,n_dual,auroc,auroc_ci_lo,auroc_ci_hi,top10_dual,top10_dual_ci_lo,top10_dual_ci_hi,top10_hardneg,top10_hardneg_ci_lo,top10_hardneg_ci_hi,top10_A_only,top10_B_only,n_boot,n_boot_auroc_valid,pair
vina_mean,48,18,0.6333333333333333,0.45535016741071427,0.7926128472222221,5,2.0,9.0,5,1.0,8.0,1,3,2000,2000,PIK3CA_mTOR_panel48
rtm_min_z,48,18,0.6851851851851852,0.5190428177724004,0.840409119659594,6,3.0,9.0,4,1.0,7.0,4,0,2000,2000,PIK3CA_mTOR_panel48
rtm_shortfall,48,18,0.687037037037037,0.5138706140350877,0.8500030712530712,6,3.0,9.0,4,1.0,7.0,4,0,2000,2000,PIK3CA_mTOR_panel48
consensus_rank_mean,48,18,0.6675925925925926,0.49559568988885877,0.8157086445689387,4,2.0,8.0,6,2.0,8.0,4,1,2000,2000,PIK3CA_mTOR_panel48
consensus_and_top25,48,18,0.6962962962962963,0.5339136904761904,0.8501315672438328,6,3.0,9.0,4,1.0,7.0,4,0,2000,2000,PIK3CA_mTOR_panel48
