seed,mode,CNNscore,CNNaffinity,rmsd_pose_rmsd,rmsd_GetBestRMS
42,1,0.966074467,7.67246675,3.585375725207765,1.6519451283859334
42,2,0.963265657,7.65637064,3.6173257387191464,1.6803669674454043
42,3,0.94948566,7.60336685,1.110232858458081,0.4838656947874898
42,4,0.948014677,7.60633087,1.1337018407131398,0.4851965673649437
42,5,0.924003303,7.29761696,6.360617390702661,0.7799905971469732
42,6,0.92080617,7.27556038,6.3823386316530515,0.7636412183757569
42,7,0.862618506,7.37332392,1.5280759738370955,0.7732294674010691
42,8,0.861266375,7.07381058,4.299447718232912,0.9248801919531199
42,9,0.837722301,7.07077169,4.290546839485406,0.9379593690116891
43,1,0.966175914,7.66800165,3.603307962515454,1.6445159099793862
43,2,0.963544428,7.6610961,3.6118181143170953,1.676521028123237
43,3,0.953806698,7.60874796,1.0870610712960318,0.48555822132212695
43,4,0.948569119,7.60259628,1.130674416604373,0.48189697485987326
43,5,0.922009528,7.29093313,6.361888756136386,0.7837493963819981
43,6,0.920121074,7.27257776,6.380193948320212,0.751732688491663
43,7,0.823719263,6.79337168,5.768667433172544,0.943411667157931
43,8,0.815185666,7.07929754,4.244704342418381,0.9801479835504023
43,9,0.790275156,6.68650484,5.789986446051026,0.9190883436196302
44,1,0.965928435,7.67238045,3.5953747370754017,1.6487705909414059
44,2,0.963407815,7.66140175,,
44,3,0.949915946,7.60342979,1.108933066264393,0.47681584475516037
44,4,0.947470546,7.60221243,1.1300546044731248,0.47869772491627144
44,5,0.922844172,7.28213167,,
44,6,0.919270754,7.27913284,6.366887665528155,0.7749169811802239
44,7,0.894343555,7.48285532,1.6805194948965259,0.851659184278129
44,8,0.851953506,7.08141518,4.281730899998271,0.9192780471395738
44,9,0.846100926,7.07112694,4.302849563212312,0.9161858352135621
