dual_rank_by_mean,dual_rank_by_min,ligand,chembl_id,pref_name,3POZ_rtmscore,3RCD_rtmscore,mean_rtmscore,min_rtmscore,3POZ_rtm_rank,3RCD_rtm_rank,3POZ_affinity,3RCD_affinity,mean_affinity,3POZ_best_rtm_mode,3RCD_best_rtm_mode
1,1,EH40_01,CHEMBL1614725,TAK-285,98.96569128453538,114.0350825083402,106.50038689643779,98.96569128453538,1,1,-10.605,-9.745,-10.175,2,3
2,2,EH40_23,CHEMBL3633938,,82.35854349800609,110.07054170594876,96.21454260197743,82.35854349800609,2,3,-11.292,-10.764,-11.028,6,2
3,3,EH40_02,CHEMBL554,LAPATINIB,80.18303753269697,111.0680380629325,95.62553779781473,80.18303753269697,3,2,-10.799,-10.571,-10.685,5,1
4,4,EH40_06,CHEMBL3911796,,78.03996691732848,86.27678212704363,82.15837452218605,78.03996691732848,4,6,-9.773,-10.024,-9.898,6,1
5,5,EH40_28,CHEMBL6017443,,67.41039970063224,90.34379194742112,78.87709582402668,67.41039970063224,5,5,-11.075,-11.53,-11.302,1,2
6,19,EH40_33,CHEMBL3814021,,44.194194462844806,102.41821967516064,73.30620706900272,44.194194462844806,21,4,-10.698,-10.591,-10.645,3,1
7,6,EH40_05,CHEMBL483321,CP-724714,59.30073645019885,84.5164657961141,71.90860112315647,59.30073645019885,7,7,-10.098,-9.98,-10.039,6,2
8,11,EH40_37,CHEMBL5542514,,49.29231171229335,75.81864762501719,62.555479668655266,49.29231171229335,11,9,-10.59,-10.758,-10.674,1,1
9,7,EH40_12,CHEMBL402011,,65.0967946161479,58.92318310559581,62.00998886087186,58.92318310559581,6,16,-9.692,-10.467,-10.079,2,1
10,9,EH40_11,CHEMBL3977326,,50.79628017693776,67.6118656115756,59.20407289425668,50.79628017693776,9,12,-10.434,-10.275,-10.354,7,1
11,10,EH40_15,CHEMBL1645469,,50.55868051137614,63.53350848862702,57.04609450000158,50.55868051137614,10,14,-8.26,-8.259,-8.259,9,6
12,28,EH40_10,CHEMBL604094,,37.24562056261127,74.07164214808073,55.658631355346,37.24562056261127,29,10,-8.753,-8.321,-8.537,8,1
13,8,EH40_34,CHEMBL2048792,,57.53323953790782,53.36655916347368,55.44989935069075,53.36655916347368,8,20,-9.615,-9.184,-9.399,6,3
14,20,EH40_07,CHEMBL257816,,43.2356138620701,66.7547403122953,54.9951770871827,43.2356138620701,22,13,-9.372,-9.65,-9.511,8,3
15,35,EH40_35,CHEMBL449949,,31.280293863150813,76.0252299316338,53.65276189739231,31.280293863150813,37,8,-10.142,-10.562,-10.352,8,1
16,12,EH40_31,CHEMBL257873,,48.80640684616608,54.99252866989251,51.89946775802929,48.80640684616608,12,18,-10.12,-9.812,-9.966,7,1
17,13,EH40_04,CHEMBL2006715,,48.39333952615426,52.882618971059706,50.63797924860698,48.39333952615426,13,22,-11.968,-11.632,-11.8,4,1
18,24,EH40_08,CHEMBL193681,,40.5145120304991,59.29611829881623,49.905315164657665,40.5145120304991,26,15,-9.882,-9.707,-9.794,5,1
19,22,EH40_32,CHEMBL394463,,41.07795817266784,57.69628806835225,49.38712312051005,41.07795817266784,24,17,-9.136,-9.76,-9.448,8,2
20,18,EH40_39,CHEMBL1683950,,44.2202662468225,51.04605860750196,47.63316242716223,44.2202662468225,20,23,-10.373,-10.12,-10.246,7,3
21,14,EH40_09,CHEMBL175556,,46.76103994824709,47.85476269359207,47.307901320919584,46.76103994824709,15,24,-11.011,-9.963,-10.487,5,4
22,29,EH40_26,CHEMBL371863,,37.107440254191374,54.869685837467465,45.98856304582942,37.107440254191374,30,19,-7.394,-7.472,-7.433,8,1
23,16,EH40_22,CHEMBL1081849,,44.99208098291926,46.446744329867705,45.71941265639349,44.99208098291926,18,26,-10.012,-10.127,-10.07,4,1
24,15,EH40_29,CHEMBL1080990,,45.44810248000185,45.75656641035413,45.60233444517799,45.44810248000185,17,29,-9.298,-9.331,-9.314,7,1
25,17,EH40_36,CHEMBL5901840,,45.53059867118508,44.66863650466588,45.09961758792548,44.66863650466588,16,30,-9.955,-10.678,-10.317,9,1
26,40,EH40_25,CHEMBL289959,,20.11019932308799,68.95868938010331,44.53444435159565,20.11019932308799,40,11,-7.956,-8.044,-8.0,6,3
27,21,EH40_18,CHEMBL2000832,,41.77583429146643,46.31521006750866,44.04552217948755,41.77583429146643,23,27,-11.17,-12.292,-11.731,1,1
28,25,EH40_20,CHEMBL3357639,,40.09888188380287,47.38378665113735,43.74133426747011,40.09888188380287,27,25,-10.245,-9.624,-9.934,4,5
29,23,EH40_13,CHEMBL3680374,,40.94567321304039,45.96176683356803,43.453720023304214,40.94567321304039,25,28,-10.219,-9.203,-9.711,7,8
30,27,EH40_40,CHEMBL141175,,48.183188761122906,37.47506587281941,42.82912731697115,37.47506587281941,14,34,-8.367,-8.612,-8.489,4,5
31,26,EH40_16,CHEMBL2325101,,44.40988935106538,37.489631733571656,40.949760542318515,37.489631733571656,19,33,-10.466,-10.072,-10.269,4,4
32,30,EH40_27,CHEMBL428690,ALVOCIDIB,36.50197654166752,43.87973911799656,40.19085782983204,36.50197654166752,31,31,-8.84,-9.216,-9.028,2,1
33,38,EH40_21,CHEMBL2112370,,26.56163148820009,53.03011942242215,39.79587545531112,26.56163148820009,38,21,-9.684,-9.132,-9.408,7,5
34,31,EH40_17,CHEMBL91925,,35.03081744189238,43.246742050601526,39.13877974624695,35.03081744189238,33,32,-9.126,-8.576,-8.851,6,1
35,32,EH40_19,CHEMBL589560,,35.80520057336964,32.40408833485009,34.10464445410986,32.40408833485009,32,37,-8.396,-8.225,-8.311,7,1
36,36,EH40_03,CHEMBL5977738,,37.60284670712245,30.20380346607584,33.903325086599146,30.20380346607584,28,38,-10.133,-10.215,-10.174,6,1
37,34,EH40_30,CHEMBL565612,SOTRASTAURIN,31.78142231349872,33.80610210320214,32.79376220835043,31.78142231349872,36,35,-9.399,-9.628,-9.514,3,4
38,33,EH40_14,CHEMBL5204650,,31.92035055547109,32.88815810725417,32.40425433136263,31.92035055547109,35,36,-7.128,-7.55,-7.339,1,4
39,37,EH40_38,CHEMBL2005631,,34.82689925210737,29.9522076584144,32.38955345526088,29.9522076584144,34,39,-9.905,-9.687,-9.796,5,8
40,39,EH40_24,CHEMBL602328,,23.16813865702481,27.859641949801155,25.513890303412982,23.16813865702481,39,40,-7.097,-6.886,-6.992,4,5
