ligand,gated_rtm_min,rtm_mean,rtm_min,rtm_min_z,vina_mean,vina_min
EH40_01,1,1,1,1,14,19
EH40_02,3,3,3,3,5,7
EH40_05,6,7,6,6,18,14
EH40_18,21,27,21,22,2,2
EH40_23,2,2,2,2,4,4
EH40_28,5,5,5,4,3,3
EH40_33,19,6,19,11,7,5
