id,rtmscore,target,ligand,vina_mode,vina_score
EH40_10_mode3-83,22.56029894805033,3POZ,EH40_10,3,-8.203
EH40_10_mode4-84,32.67299627077078,3POZ,EH40_10,4,-8.079
EH40_10_mode5-85,13.374580459828216,3POZ,EH40_10,5,-7.952
EH40_10_mode6-86,17.886334407187373,3POZ,EH40_10,6,-7.945
EH40_10_mode7-87,26.43328516470036,3POZ,EH40_10,7,-7.937
EH40_10_mode8-88,37.24562056261127,3POZ,EH40_10,8,-7.917
EH40_10_mode9-89,16.903542462670032,3POZ,EH40_10,9,-7.784
EH40_11_mode1-90,28.529817808676523,3POZ,EH40_11,1,-10.434
EH40_11_mode2-91,19.67953662928407,3POZ,EH40_11,2,-10.252
EH40_11_mode3-92,29.05515992737808,3POZ,EH40_11,3,-9.993
EH40_11_mode4-93,23.434470284834497,3POZ,EH40_11,4,-9.946
EH40_11_mode5-94,34.20834754820871,3POZ,EH40_11,5,-9.85
EH40_11_mode6-95,28.120522054115657,3POZ,EH40_11,6,-9.813
EH40_11_mode7-96,50.79628017693776,3POZ,EH40_11,7,-9.744
EH40_11_mode8-97,33.40631628181049,3POZ,EH40_11,8,-9.702
EH40_11_mode9-98,33.18478491972546,3POZ,EH40_11,9,-9.217
EH40_12_mode1-99,58.654872220538685,3POZ,EH40_12,1,-9.692
EH40_12_mode2-100,65.0967946161479,3POZ,EH40_12,2,-9.628
EH40_12_mode3-101,41.986711197520165,3POZ,EH40_12,3,-9.626
EH40_12_mode4-102,18.152723186514518,3POZ,EH40_12,4,-9.236
EH40_12_mode5-103,18.57916495294884,3POZ,EH40_12,5,-9.219
EH40_12_mode6-104,31.117151338344662,3POZ,EH40_12,6,-8.992
EH40_12_mode7-105,24.975903329986757,3POZ,EH40_12,7,-8.934
EH40_12_mode8-106,35.74537618617988,3POZ,EH40_12,8,-8.93
EH40_12_mode9-107,24.65597824558941,3POZ,EH40_12,9,-8.726
EH40_13_mode1-108,26.167396189617733,3POZ,EH40_13,1,-10.219
EH40_13_mode2-109,34.77928083895268,3POZ,EH40_13,2,-10.002
EH40_13_mode3-110,24.90340904121373,3POZ,EH40_13,3,-9.987
EH40_13_mode4-111,39.955838216461146,3POZ,EH40_13,4,-9.938
EH40_13_mode5-112,17.270909340707846,3POZ,EH40_13,5,-9.875
EH40_13_mode6-113,24.02291490774111,3POZ,EH40_13,6,-9.844
EH40_13_mode7-114,40.94567321304039,3POZ,EH40_13,7,-9.543
EH40_13_mode8-115,31.389703016029227,3POZ,EH40_13,8,-9.517
EH40_13_mode9-116,34.21475463262831,3POZ,EH40_13,9,-9.323
EH40_14_mode1-117,31.92035055547109,3POZ,EH40_14,1,-7.128
EH40_14_mode2-118,18.520089942828065,3POZ,EH40_14,2,-7.006
EH40_14_mode3-119,19.27984564676056,3POZ,EH40_14,3,-6.773
EH40_14_mode4-120,18.319255025791342,3POZ,EH40_14,4,-6.628
EH40_14_mode5-121,15.861652246402803,3POZ,EH40_14,5,-6.552
EH40_14_mode6-122,16.4389589730302,3POZ,EH40_14,6,-6.538
EH40_14_mode7-123,30.37503400746524,3POZ,EH40_14,7,-6.527
EH40_14_mode8-124,13.607115330195628,3POZ,EH40_14,8,-6.525
EH40_14_mode9-125,22.41303855758712,3POZ,EH40_14,9,-6.465
EH40_15_mode1-126,17.098613566730485,3POZ,EH40_15,1,-8.26
EH40_15_mode2-127,15.331068068853746,3POZ,EH40_15,2,-8.122
EH40_15_mode3-128,17.819532026437567,3POZ,EH40_15,3,-8.066
EH40_15_mode4-129,9.502223951905172,3POZ,EH40_15,4,-8.058
EH40_15_mode5-130,15.892852336225078,3POZ,EH40_15,5,-8.039
EH40_15_mode6-131,11.61846323311313,3POZ,EH40_15,6,-8.014
EH40_15_mode7-132,19.984096492897116,3POZ,EH40_15,7,-7.922
EH40_15_mode8-133,17.116616995607597,3POZ,EH40_15,8,-7.884
EH40_15_mode9-134,50.55868051137614,3POZ,EH40_15,9,-7.862
EH40_16_mode1-135,33.90196289588662,3POZ,EH40_16,1,-10.466
EH40_16_mode2-136,28.666487393306447,3POZ,EH40_16,2,-10.217
EH40_16_mode3-137,29.17418530304356,3POZ,EH40_16,3,-9.684
EH40_16_mode4-138,44.40988935106538,3POZ,EH40_16,4,-9.678
EH40_16_mode5-139,32.193712976148234,3POZ,EH40_16,5,-9.438
EH40_16_mode6-140,25.608243411468628,3POZ,EH40_16,6,-9.428
EH40_16_mode7-141,27.724423192259973,3POZ,EH40_16,7,-9.037
EH40_16_mode8-142,31.37111642191734,3POZ,EH40_16,8,-9.018
EH40_16_mode9-143,20.70597008212708,3POZ,EH40_16,9,-8.756
EH40_17_mode1-144,11.080379974773772,3POZ,EH40_17,1,-9.126
EH40_17_mode2-145,10.631327190071046,3POZ,EH40_17,2,-8.807
EH40_17_mode3-146,12.273853619753794,3POZ,EH40_17,3,-8.74
EH40_17_mode4-147,14.478312696785144,3POZ,EH40_17,4,-8.546
EH40_17_mode5-148,20.880078764505225,3POZ,EH40_17,5,-8.465
EH40_17_mode6-149,35.03081744189238,3POZ,EH40_17,6,-8.311
EH40_17_mode7-150,29.933711585962243,3POZ,EH40_17,7,-8.277
EH40_17_mode8-151,34.44046748734917,3POZ,EH40_17,8,-8.176
EH40_17_mode9-152,32.1256028555522,3POZ,EH40_17,9,-8.139
EH40_18_mode1-153,41.77583429146643,3POZ,EH40_18,1,-11.17
EH40_18_mode2-154,37.14219924239097,3POZ,EH40_18,2,-10.719
EH40_18_mode3-155,31.2718707951211,3POZ,EH40_18,3,-10.444
EH40_18_mode4-156,25.60573859114492,3POZ,EH40_18,4,-9.905
EH40_18_mode5-157,16.161185810565406,3POZ,EH40_18,5,-9.86
EH40_18_mode6-158,21.52122347008068,3POZ,EH40_18,6,-9.831
EH40_18_mode7-159,16.25787038224676,3POZ,EH40_18,7,-9.83
EH40_18_mode8-160,18.578376350634866,3POZ,EH40_18,8,-9.759
EH40_18_mode9-161,31.65491469009013,3POZ,EH40_18,9,-9.497
EH40_19_mode1-162,28.508908284068344,3POZ,EH40_19,1,-8.396
EH40_19_mode2-163,30.936800593911315,3POZ,EH40_19,2,-8.143
EH40_19_mode3-164,27.399530493312145,3POZ,EH40_19,3,-8.127
EH40_19_mode4-165,25.906218246244062,3POZ,EH40_19,4,-8.032
EH40_19_mode5-166,30.07744171360652,3POZ,EH40_19,5,-7.98
EH40_19_mode6-167,32.08899163022193,3POZ,EH40_19,6,-7.929
EH40_19_mode7-168,35.80520057336964,3POZ,EH40_19,7,-7.923
EH40_19_mode8-169,28.204341494971757,3POZ,EH40_19,8,-7.917
EH40_19_mode9-170,25.044592167617637,3POZ,EH40_19,9,-7.81
EH40_20_mode1-171,25.501260922300524,3POZ,EH40_20,1,-10.245
