ligand,class,pref_name,molecule_chembl_id,3POZ_affinity,3RCD_affinity,mean_affinity,rtm_3POZ,rtm_mode_3POZ,rtm_3RCD,rtm_mode_3RCD,vina_3POZ_hb,vina_3RCD_hb,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z,clash_3POZ_rtm_best,clash_3POZ_vina_m1,pb_like_fail_3POZ,clash_3RCD_rtm_best,clash_3RCD_vina_m1,pb_like_fail_3RCD,rtm_3POZ_gated,rtm_3RCD_gated,gated_rtm_min,gated_any
EH40_01,dual,TAK-285,CHEMBL1614725,-10.605,-9.745,-10.175,98.96569128453538,2,114.0350825083402,3,10.605,9.745,10.175,9.745,106.50038689643779,98.96569128453538,3.2253025655067904,2.3968836405926233,2.3968836405926233,0,0,0,0,0,0,98.96569128453538,114.0350825083402,98.96569128453538,0
EH40_02,dual,LAPATINIB,CHEMBL554,-10.799,-10.571,-10.685,80.18303753269697,5,111.0680380629325,1,10.799,10.571,10.684999999999999,10.571,95.62553779781473,80.18303753269697,2.0667472975797017,2.267592729146509,2.0667472975797017,0,0,0,0,0,0,80.18303753269697,111.0680380629325,80.18303753269697,0
EH40_03,dual,,CHEMBL5977738,-10.133,-10.215,-10.174,37.60284670712245,6,30.20380346607584,1,10.133,10.215,10.174,10.133,33.903325086599146,30.20380346607584,-0.5596922376474004,-1.2561194318229603,-1.2561194318229603,0,0,0,0,0,0,37.60284670712245,30.20380346607584,30.20380346607584,0
EH40_04,dual,,CHEMBL2006715,-11.968,-11.632,-11.8,48.39333952615426,4,52.882618971059706,1,11.968,11.632,11.8,11.632,50.63797924860698,48.39333952615426,0.10588901962276082,-0.2678751432360627,-0.2678751432360627,0,0,0,0,0,0,48.39333952615426,52.882618971059706,48.39333952615426,0
EH40_05,dual,CP-724714,CHEMBL483321,-10.098,-9.98,-10.039,59.30073645019885,6,84.5164657961141,2,10.098,9.98,10.039000000000001,9.98,71.90860112315647,59.30073645019885,0.7786811784244273,1.1105905197533772,0.7786811784244273,0,0,0,0,0,0,59.30073645019885,84.5164657961141,59.30073645019885,0
EH40_06,dual,,CHEMBL3911796,-9.773,-10.024,-9.898,78.03996691732848,6,86.27678212704363,1,9.773,10.024,9.898499999999999,9.773,82.15837452218605,78.03996691732848,1.934558002936931,1.1872974606324127,1.1872974606324127,0,0,0,0,0,0,78.03996691732848,86.27678212704363,78.03996691732848,0
EH40_07,dual,,CHEMBL257816,-9.372,-9.65,-9.511,43.2356138620701,8,66.7547403122953,3,9.372,9.65,9.511,9.372,54.9951770871827,43.2356138620701,-0.21225080862502166,0.33661166001200843,-0.21225080862502166,0,0,0,0,0,0,43.2356138620701,66.7547403122953,43.2356138620701,0
EH40_08,dual,,CHEMBL193681,-9.882,-9.707,-9.794,40.5145120304991,5,59.29611829881623,1,9.882,9.707,9.7945,9.707,49.905315164657665,40.5145120304991,-0.38009433612571214,0.011597304481431224,-0.38009433612571214,0,0,0,0,0,0,40.5145120304991,59.29611829881623,40.5145120304991,0
EH40_09,dual,,CHEMBL175556,-11.011,-9.963,-10.487,46.76103994824709,5,47.85476269359207,4,11.011,9.963,10.486999999999998,9.963,47.307901320919584,46.76103994824709,0.005205202532515196,-0.48696728448793913,-0.48696728448793913,0,0,0,0,0,0,46.76103994824709,47.85476269359207,46.76103994824709,0
EH40_10,dual,,CHEMBL604094,-8.753,-8.321,-8.537,37.24562056261127,8,74.07164214808073,1,8.753,8.321,8.536999999999999,8.321,55.658631355346,37.24562056261127,-0.5817267295266005,0.6554504656708352,-0.5817267295266005,0,0,0,0,0,0,37.24562056261127,74.07164214808073,37.24562056261127,0
