target,ligand,chembl_id,pref_name,best_affinity_kcal_mol,rmsd_lb,rmsd_ub,n_modes,all_scores,out_pdbqt
3POZ,EH40_20,CHEMBL3357639,,-10.245,0.0,0.0,9,-10.245;-9.764;-9.496;-9.369;-9.060;-9.014;-8.917;-8.917;-8.829,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_20_out.pdbqt
3POZ,EH40_21,CHEMBL2112370,,-9.684,0.0,0.0,9,-9.684;-9.602;-9.406;-9.356;-9.117;-9.103;-9.067;-9.063;-9.033,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_21_out.pdbqt
3POZ,EH40_22,CHEMBL1081849,,-10.012,0.0,0.0,9,-10.012;-9.725;-9.679;-9.581;-9.551;-9.548;-9.531;-9.392;-9.273,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_22_out.pdbqt
3POZ,EH40_23,CHEMBL3633938,,-11.292,0.0,0.0,9,-11.292;-10.602;-10.340;-10.340;-10.332;-10.264;-9.993;-9.915;-9.818,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_23_out.pdbqt
3POZ,EH40_24,CHEMBL602328,,-7.097,0.0,0.0,9,-7.097;-7.061;-6.801;-6.644;-6.544;-6.523;-6.394;-6.352;-6.320,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_24_out.pdbqt
3POZ,EH40_25,CHEMBL289959,,-7.956,0.0,0.0,9,-7.956;-7.851;-7.742;-7.443;-7.390;-7.388;-7.387;-7.184;-7.111,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_25_out.pdbqt
3POZ,EH40_26,CHEMBL371863,,-7.394,0.0,0.0,9,-7.394;-7.273;-7.261;-7.230;-7.198;-7.161;-7.020;-6.945;-6.898,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_26_out.pdbqt
3POZ,EH40_27,CHEMBL428690,ALVOCIDIB,-8.84,0.0,0.0,9,-8.840;-8.734;-8.117;-8.104;-7.987;-7.835;-7.725;-7.573;-7.409,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_27_out.pdbqt
3POZ,EH40_28,CHEMBL6017443,,-11.075,0.0,0.0,9,-11.075;-10.576;-10.455;-10.393;-10.382;-10.242;-10.234;-10.049;-9.824,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_28_out.pdbqt
3POZ,EH40_29,CHEMBL1080990,,-9.298,0.0,0.0,9,-9.298;-9.295;-9.258;-8.940;-8.926;-8.769;-8.720;-8.634;-8.463,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_29_out.pdbqt
3POZ,EH40_30,CHEMBL565612,SOTRASTAURIN,-9.399,0.0,0.0,9,-9.399;-9.376;-9.189;-8.553;-8.506;-8.305;-8.298;-8.273;-8.092,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_30_out.pdbqt
3POZ,EH40_31,CHEMBL257873,,-10.12,0.0,0.0,9,-10.120;-9.970;-9.875;-9.864;-9.670;-9.387;-9.197;-9.148;-9.095,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_31_out.pdbqt
3POZ,EH40_32,CHEMBL394463,,-9.136,0.0,0.0,9,-9.136;-9.091;-9.059;-8.955;-8.831;-8.700;-8.653;-8.600;-8.579,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_32_out.pdbqt
3POZ,EH40_33,CHEMBL3814021,,-10.698,0.0,0.0,9,-10.698;-10.679;-10.665;-10.594;-10.449;-10.389;-10.077;-9.939;-9.812,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_33_out.pdbqt
3POZ,EH40_34,CHEMBL2048792,,-9.615,0.0,0.0,9,-9.615;-9.568;-9.501;-9.472;-9.312;-9.167;-9.152;-8.836;-8.835,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_34_out.pdbqt
3POZ,EH40_35,CHEMBL449949,,-10.142,0.0,0.0,9,-10.142;-10.053;-9.880;-9.828;-9.741;-9.709;-9.638;-9.531;-9.511,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_35_out.pdbqt
3POZ,EH40_36,CHEMBL5901840,,-9.955,0.0,0.0,9,-9.955;-9.891;-9.561;-9.509;-9.490;-9.321;-9.143;-9.004;-8.975,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_36_out.pdbqt
3POZ,EH40_37,CHEMBL5542514,,-10.59,0.0,0.0,9,-10.590;-10.185;-9.862;-9.813;-9.414;-9.380;-9.153;-8.934;-8.918,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_37_out.pdbqt
3POZ,EH40_38,CHEMBL2005631,,-9.905,0.0,0.0,9,-9.905;-9.827;-9.456;-8.940;-8.901;-8.828;-8.757;-8.742;-8.706,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_38_out.pdbqt
3POZ,EH40_39,CHEMBL1683950,,-10.373,0.0,0.0,9,-10.373;-10.282;-10.166;-10.163;-9.851;-9.793;-9.761;-9.738;-8.512,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_39_out.pdbqt
3POZ,EH40_40,CHEMBL141175,,-8.367,0.0,0.0,9,-8.367;-7.846;-7.813;-7.682;-7.669;-7.636;-7.569;-7.511;-7.334,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_40_out.pdbqt
3RCD,EH40_01,CHEMBL1614725,TAK-285,-9.745,0.0,0.0,9,-9.745;-9.592;-9.451;-9.388;-9.115;-9.004;-9.003;-9.000;-8.886,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_01_out.pdbqt
3RCD,EH40_02,CHEMBL554,LAPATINIB,-10.571,0.0,0.0,9,-10.571;-10.192;-9.565;-9.508;-9.481;-9.400;-9.285;-9.135;-9.066,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_02_out.pdbqt
3RCD,EH40_03,CHEMBL5977738,,-10.215,0.0,0.0,9,-10.215;-9.863;-9.491;-9.086;-8.990;-8.681;-8.436;-8.320;-8.234,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_03_out.pdbqt
3RCD,EH40_04,CHEMBL2006715,,-11.632,0.0,0.0,9,-11.632;-11.554;-11.537;-11.368;-11.172;-11.086;-10.904;-10.869;-10.724,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_04_out.pdbqt
3RCD,EH40_05,CHEMBL483321,CP-724714,-9.98,0.0,0.0,9,-9.980;-9.668;-9.497;-9.276;-8.933;-8.904;-8.794;-8.497;-8.383,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_05_out.pdbqt
3RCD,EH40_06,CHEMBL3911796,,-10.024,0.0,0.0,9,-10.024;-9.993;-9.775;-9.759;-9.588;-9.475;-9.465;-9.409;-9.245,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_06_out.pdbqt
3RCD,EH40_07,CHEMBL257816,,-9.65,0.0,0.0,9,-9.650;-9.461;-9.264;-9.123;-9.122;-8.868;-8.846;-8.696;-8.514,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_07_out.pdbqt
3RCD,EH40_08,CHEMBL193681,,-9.707,0.0,0.0,9,-9.707;-9.702;-9.700;-9.677;-9.210;-9.094;-9.047;-8.876;-8.721,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_08_out.pdbqt
3RCD,EH40_09,CHEMBL175556,,-9.963,0.0,0.0,9,-9.963;-9.686;-9.579;-9.493;-9.405;-9.284;-9.012;-8.678;-8.676,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_09_out.pdbqt
3RCD,EH40_10,CHEMBL604094,,-8.321,0.0,0.0,9,-8.321;-7.695;-7.660;-7.628;-7.619;-7.426;-7.416;-7.352;-7.247,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_10_out.pdbqt
3RCD,EH40_11,CHEMBL3977326,,-10.275,0.0,0.0,9,-10.275;-10.161;-10.143;-9.936;-9.790;-9.380;-9.293;-8.734;-8.205,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_11_out.pdbqt
3RCD,EH40_12,CHEMBL402011,,-10.467,0.0,0.0,9,-10.467;-10.159;-9.485;-9.135;-8.858;-8.746;-8.223;-8.194;-8.119,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_12_out.pdbqt
3RCD,EH40_13,CHEMBL3680374,,-9.203,0.0,0.0,9,-9.203;-8.798;-8.692;-8.654;-8.616;-8.599;-8.256;-8.216;-8.194,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_13_out.pdbqt
3RCD,EH40_14,CHEMBL5204650,,-7.55,0.0,0.0,9,-7.550;-7.471;-7.330;-7.052;-6.870;-6.749;-6.719;-6.437;-6.297,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_14_out.pdbqt
3RCD,EH40_15,CHEMBL1645469,,-8.259,0.0,0.0,9,-8.259;-7.551;-7.541;-7.328;-7.280;-7.247;-7.160;-6.919;-6.845,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_15_out.pdbqt
