aggregation,n_pool_ge_0.5,jaccard_vs_max,jaccard_vs_production_frozen
max,1377,1.0,0.8671284634760705
mean,1377,1.0,0.8671284634760705
median,1377,1.0,0.8671284634760705
top2_mean,1377,1.0,0.8671284634760705
