compare,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,delta_auroc_sig_excl0,delta_top10_hardneg,delta_top10_hardneg_ci_lo,delta_top10_hardneg_ci_hi,delta_hardneg_sig_excl0,n_boot,pair
rtm_min_z_minus_vina_mean,0.17066666666666663,-0.014899553571428628,0.3560622248122248,False,-3,-6.0,0.0,False,2000,EGFR_HER2_panel40
rtm_shortfall_minus_vina_mean,0.15999999999999992,-0.03469605734767021,0.34751155956112845,False,-2,-6.0,1.0,False,2000,EGFR_HER2_panel40
consensus_rank_mean_minus_vina_mean,0.10266666666666657,0.002479221558168929,0.20460524929035154,True,-1,-4.0,0.0,False,2000,EGFR_HER2_panel40
consensus_and_top25_minus_vina_mean,0.15466666666666662,-0.021337634408602132,0.33333333333333337,False,-3,-6.0,0.0,False,2000,EGFR_HER2_panel40
