threshold,n_passed_benchmarks,n_total_benchmarks,must_pass_recall,n_must_pass_total
5.0,9,9,1.0,9
5.5,9,9,1.0,9
6.0,9,9,1.0,9
6.5,7,9,0.7777777777777778,9
7.0,5,9,0.5555555555555556,9
