layer,ligand,target,pdb,seed,self_dock,sdf,status,rmsd_definition,native_like_cutoff_A,n_poses,n_scored_poses,CNNscore_top1,top1_pose_rmsd_A,best_of_9_pose_rmsd_A,best_rmsd_cnnscore_rank,success_at_1,success_at_3,success_at_5,success_at_9,capability_class,acid_arg_top1_A,acid_arg_best_rmsd_A,run_status,reference_transform,reference_ca_rmsd_A
d1,TD-3,urat1_9dka,9DKA,43,False,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.933019221,5.661662097514172,1.5673510270972688,5,False,True,True,True,search_ok_selection_fail,15.214253711569288,7.695284855026494,ok,chainA_CA_Kabsch_native_onto_dock_receptor,1.0281
d1,TD-3,urat1_9dka,9DKA,44,False,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.930541873,5.657924726118983,1.548304969267084,5,False,True,True,True,search_ok_selection_fail,15.201241166431105,7.98290586190268,ok,chainA_CA_Kabsch_native_onto_dock_receptor,1.0281
d1,TD-3,urat1_9dkb,9DKB,42,False,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.965136826,5.087215599807872,1.9042960214998068,9,False,False,False,True,search_ok_selection_fail,14.607205003011352,7.937578787010553,ok,chainA_CA_Kabsch_native_onto_dock_receptor,0.5806
d1,TD-3,urat1_9dkb,9DKB,43,False,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.965426147,5.099161265240448,2.3586236759268826,3,False,False,False,False,search_incomplete,14.606190468428101,6.968171854941574,ok,chainA_CA_Kabsch_native_onto_dock_receptor,0.5806
d1,TD-3,urat1_9dkb,9DKB,44,False,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.96469909,5.086360684818903,1.9032711300923089,9,False,False,False,True,search_ok_selection_fail,14.573927747865357,7.956495585369217,ok,chainA_CA_Kabsch_native_onto_dock_receptor,0.5806
d1,TD-3,urat1_9dkc,9DKC,42,True,data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.965193927,5.03431141908064,1.2095981770819602,8,False,False,False,True,search_ok_selection_fail,13.772302167756845,8.067599023253452,ok,identity,
d1,TD-3,urat1_9dkc,9DKC,43,True,data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.966474473,5.0259868433970265,1.4777508972373232,8,False,False,False,True,search_ok_selection_fail,13.803795021659797,8.162836884319079,ok,identity,
d1,TD-3,urat1_9dkc,9DKC,44,True,data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/TD-3_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.976477385,5.455358633621494,1.2922805146605862,8,False,False,False,True,search_ok_selection_fail,13.694879773112284,8.466012815960063,ok,identity,
d1,lesinurad,urat1_9dkb,9DKB,42,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.940526247,4.361537544261201,1.2425226523756692,7,False,False,False,True,search_ok_selection_fail,14.107409436179271,6.116582787799083,reused,identity,
d1,lesinurad,urat1_9dkb,9DKB,43,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.943714678,4.374537618423235,4.374537618423235,1,False,False,False,False,search_incomplete,14.12549942479911,14.12549942479911,reused,identity,
d1,lesinurad,urat1_9dkb,9DKB,44,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.904750764,4.927145928425501,3.88515891995853,5,False,False,False,False,search_incomplete,13.772946634616712,3.0596414822655196,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,42,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed42/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.966074467,3.585375725207765,1.110232858458081,3,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,43,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.966175914,3.603307962515454,1.0870610712960318,3,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,44,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.965928435,3.5953747370754017,1.108933066264393,3,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dkb,9DKB,42,False,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9,9,0.7638309,1.3715431783214116,1.3715431783214116,1,True,True,True,True,selection_ok,,,reused,chainA_CA_Kabsch_native_onto_dock_receptor,0.8968
