canonical_smiles,fold,split
Brc1ccc(Cn2c(Br)nnc2SCc2nnn[n-]2)c2ccccc12.[Na+],2,train
C#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,2,train
C/C(=C\C(=O)O)Sc1ccc2ccccc2c1-c1ccc(C#N)cc1,2,train
C/C(=C\C(=O)O)c1ccc2cncc(-c3ccc([N+](=O)[O-])cc3)c2c1,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)cc1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Cl)cc1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1cccs1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1c(O)ccc2c1OC(c1ccsc1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1cc(Br)cs1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1cc3ccccc3s1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1cccs1)CC2=O)C(=O)O,2,train
C/C(=C\Cc1cccc2c1OC(c1ccsc1)CC2=O)C(=O)O,2,train
CC(C)(C(=O)O)c1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1,2,train
CC(C)(C)C(Sc1ccc2cnsc2c1-c1ccc(C#N)cc1)C(=O)O,2,train
CC(C)(C)S(=O)(=O)NC(=O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,2,train
CC(C)(C)c1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,2,train
CC(C)(C)c1ccc(S(=O)(=O)NC(=O)CSc2nc3sccc3c(=O)n2-c2ccc(C3CC3)c3ccccc23)cc1,2,train
CC(C)(Cc1cc2c(-c3ccc(C#N)c4ccccc34)cccc2s1)C(=O)O,2,train
CC(C)(Cc1cc2c(-c3ccc(C#N)c4ccccc34)cncc2s1)C(=O)O,2,train
CC(C)(Cc1cc2c(Cc3c(Cl)cccc3Cl)cccc2s1)C(=O)O,2,train
CC(C)(Cc1cc2cncc(-c3ccc(C#N)c4ccccc34)c2s1)C(=O)O,2,train
CC(C)(Cc1cc2cncc(-c3ccc(C#N)cc3)c2s1)C(=O)O,2,train
CC(C)(Cc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
CC(C)(Cc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,2,train
CC(C)(O)c1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1,2,train
CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2,train
CC(C)(Oc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,2,train
CC(C)(Oc1nc2ncccc2n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1c(-c2ccc(C#N)cc2)cnc2ccccc12)C(=O)O,2,train
CC(C)(Sc1cc(F)c2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c(Cl)c3)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4c3OCCO4)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccc(F)cc34)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3Cl)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)cc3F)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cncc(-c3cccc4c(C#N)cccc34)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cnnc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
CC(C)(Sc1ccc2cnsc2c1-c1ccc(C#N)c(F)c1)C(=O)O,2,train
CC(C)(Sc1ccc2cnsc2c1-c1ccc(C(F)(F)F)cc1)C(=O)O,2,train
CC(C)(Sc1ccc2cnsc2c1-c1ccc(Cl)cc1)C(=O)O,2,train
CC(C)(Sc1ccc2cnsc2c1-c1ccc([N+](=O)[O-])cc1)C(=O)O,2,train
CC(C)(Sc1ccc2cnsc2c1-c1cccc(C#N)c1)C(=O)O,2,train
CC(C)(Sc1ccc2nccn2c1-c1ccc(C#N)cc1)C(=O)O,2,train
CC(C)(Sc1ccc2ncsc2c1-c1ccc(C#N)cc1)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C#N)c2c(Cl)ccn12)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C#N)c2cc(Cl)cn12)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccc(Cl)n12)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C#N)c2cccn12)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C2(O)CC2)cc1)C(=O)O,2,train
CC(C)(Sc1ccncc1-c1ccc(C2(O)COC2)cc1)C(=O)O,2,train
CC(C)(Sc1ccncc1C(=O)N1CCOc2ccccc21)C(=O)O,2,train
CC(C)(Sc1ccncc1C(=O)N1CCc2ccccc2C1)C(=O)O,2,train
CC(C)(Sc1ccncc1Cc1ccc(C#N)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1ccncc1Oc1ccc(C#N)c2ccccc12)C(=O)[O-].[Na+],2,train
CC(C)(Sc1nc(Nc2ccc(C3CC3)c3ccccc23)c2ccccc2n1)C(=O)O,2,train
CC(C)(Sc1nc2c(c(Nc3ccc(C4CC4)c4ccccc34)n1)CCC2)C(=O)O,2,train
CC(C)(Sc1nc2cc(Br)ccc2n1-c1ccc(C#N)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc(Br)cc1F)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc(C#N)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc(C#N)cc1)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc(Cl)cc1F)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccc([N+](=O)[O-])cc1F)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccccc1)C(=O)O,2,train
CC(C)(Sc1nc2ccccc2n1-c1ccccc1F)C(=O)O,2,train
CC(C)(Sc1nc2cnccc2n1Cc1ccc(Br)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nccc(Nc2ccc(C3CC3)c3ccccc23)n1)C(=O)O,2,train
CC(C)(Sc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nnc(Br)n1-c1sc(-c2ccc(C(F)(F)F)cc2)c2c1CCCC2)C(=O)O,2,train
CC(C)(Sc1nnc(Br)n1-c1sc(C2CC2)c2c1CCC2)C(=O)NO,2,train
CC(C)(Sc1nnc(Br)n1Cc1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(C)(Sc1nnc(Cl)n1Cc1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(C)=CCc1c(O)ccc2c1OC(c1ccc(O)cc1)CC2=O,2,train
CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc(O)cc1)CC2=O,2,train
CC(C)COc1ccc(-c2ccc(C(=O)O)c(O)c2)cc1C#N,2,train
CC(C)S(=O)(=O)NC(=O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,2,train
CC(C)c1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,2,train
CC(C)c1cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)ccc1Cl,2,train
CC(C)c1ccc(Cn2c(Br)nnc2CC(C)(C)C(=O)O)c2ccccc12,2,train
CC(C)c1ccc(Cn2c(Br)nnc2CCC(=O)O)c2ccccc12,2,train
CC(C)c1ccc(Cn2c(Br)nnc2SCC(=O)O)c2ccccc12,2,train
CC(CC(=O)O)c1cc2cncc(-c3ccc(C#N)c4ccccc34)c2s1,2,train
CC(CC(=O)O)c1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1,2,train
CC(Cc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
CC(Cl)(CC(=O)O)c1cc2c(-c3ccc(C#N)c4ccccc34)cncc2s1,2,train
CC(O)(CC(=O)O)c1cc2c(-c3ccc(C#N)c4ccccc34)cncc2s1,2,train
CC(Oc1nc2ncccc2n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,2,train
CC(Sc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,2,train
