dual_rank_by_mean,ligand,class,pref_name,molecule_chembl_id,4L23_rtmscore,4L23_best_rtm_mode,4JT6_rtmscore,4JT6_best_rtm_mode,4L23_affinity,4JT6_affinity,mean_affinity,min_affinity_raw,mean_rtmscore,min_rtmscore,dual_rank_by_min
37,PM48_03,dual,GEDATOLISIB,CHEMBL592445,34.9624895284923,1,47.07570295924519,2,-7.506,-6.711,-7.1085,-6.711,41.019096243868745,34.9624895284923,36
38,PM48_32,A_only,,CHEMBL4072637,37.5773950332236,5,39.985473920007365,1,-7.579,-8.236,-7.907500000000001,-7.579,38.78143447661549,37.5773950332236,33
39,PM48_24,A_only,,CHEMBL2017653,46.80160487481944,1,28.9604820649636,4,-7.978,-7.017,-7.4975,-7.017,37.88104346989152,28.9604820649636,42
40,PM48_36,B_only,,CHEMBL594793,35.760564409417135,2,39.64028091998699,1,-8.272,-9.673,-8.9725,-8.272,37.70042266470206,35.760564409417135,35
41,PM48_17,dual,SAMOTOLISIB,CHEMBL4297181,41.57687297190616,5,33.21294167341728,8,-7.882,-8.522,-8.202,-7.882,37.39490732266172,33.21294167341728,38
42,PM48_19,A_only,TASELISIB,CHEMBL2387080,24.642571043749907,8,47.413027692631125,3,-6.422,-6.831,-6.6265,-6.422,36.027799368190514,24.642571043749907,47
43,PM48_27,A_only,,CHEMBL3646517,39.869636732490335,2,30.36419103227014,5,-7.924,-7.991,-7.9575,-7.924,35.11691388238024,30.36419103227014,41
44,PM48_44,B_only,Ku-0063794,CHEMBL1078983,43.15857730849847,5,26.948928211677504,8,-7.881,-8.301,-8.091000000000001,-7.881,35.05375276008799,26.948928211677504,44
45,PM48_13,dual,VISTUSERTIB,CHEMBL2336325,41.237803508188215,1,26.392032667324557,9,-8.756,-8.528,-8.642,-8.528,33.81491808775638,26.392032667324557,45
46,PM48_37,B_only,,CHEMBL573202,33.91552900398484,3,31.413658236242387,6,-7.817,-8.118,-7.9675,-7.817,32.664593620113614,31.413658236242387,40
47,PM48_22,A_only,ALPELISIB,CHEMBL2396661,29.887208409074148,8,26.201420384261773,8,-7.529,-8.082,-7.8055,-7.529,28.04431439666796,26.201420384261773,46
48,PM48_25,A_only,SONOLISIB,CHEMBL411907,27.47640153657125,1,21.17059320819122,7,-6.818,-6.559,-6.6885,-6.559,24.323497372381233,21.17059320819122,48
