target,ligand,mode,vina_score,sdf_name,pose_path
4L23,PM48_04,8,-7.586,PM48_04_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_08.pdbqt
4L23,PM48_04,9,-7.107,PM48_04_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04/mode_09.pdbqt
4L23,PM48_05,1,-8.855,PM48_05_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_01.pdbqt
4L23,PM48_05,2,-8.83,PM48_05_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_02.pdbqt
4L23,PM48_05,3,-8.793,PM48_05_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_03.pdbqt
4L23,PM48_05,4,-8.583,PM48_05_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_04.pdbqt
4L23,PM48_05,5,-8.572,PM48_05_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_05.pdbqt
4L23,PM48_05,6,-8.429,PM48_05_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_06.pdbqt
4L23,PM48_05,7,-8.364,PM48_05_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_07.pdbqt
4L23,PM48_05,8,-8.244,PM48_05_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_08.pdbqt
4L23,PM48_05,9,-8.193,PM48_05_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05/mode_09.pdbqt
4L23,PM48_06,1,-7.926,PM48_06_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_01.pdbqt
4L23,PM48_06,2,-7.859,PM48_06_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_02.pdbqt
4L23,PM48_06,3,-7.429,PM48_06_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_03.pdbqt
4L23,PM48_06,4,-6.943,PM48_06_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_04.pdbqt
4L23,PM48_06,5,-6.889,PM48_06_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_05.pdbqt
4L23,PM48_06,6,-6.764,PM48_06_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_06.pdbqt
4L23,PM48_06,7,-6.496,PM48_06_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_07.pdbqt
4L23,PM48_06,8,-6.45,PM48_06_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_08.pdbqt
4L23,PM48_06,9,-6.241,PM48_06_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06/mode_09.pdbqt
4L23,PM48_07,1,-9.136,PM48_07_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_01.pdbqt
4L23,PM48_07,2,-9.012,PM48_07_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_02.pdbqt
4L23,PM48_07,3,-8.737,PM48_07_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_03.pdbqt
4L23,PM48_07,4,-8.626,PM48_07_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_04.pdbqt
4L23,PM48_07,5,-8.525,PM48_07_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_05.pdbqt
4L23,PM48_07,6,-8.511,PM48_07_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_06.pdbqt
4L23,PM48_07,7,-7.93,PM48_07_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_07.pdbqt
4L23,PM48_07,8,-7.926,PM48_07_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_08.pdbqt
4L23,PM48_07,9,-7.512,PM48_07_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07/mode_09.pdbqt
4L23,PM48_08,1,-9.09,PM48_08_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_01.pdbqt
4L23,PM48_08,2,-8.887,PM48_08_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_02.pdbqt
4L23,PM48_08,3,-8.772,PM48_08_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_03.pdbqt
4L23,PM48_08,4,-8.614,PM48_08_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_04.pdbqt
4L23,PM48_08,5,-8.482,PM48_08_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_05.pdbqt
4L23,PM48_08,6,-8.474,PM48_08_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_06.pdbqt
4L23,PM48_08,7,-8.358,PM48_08_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_07.pdbqt
4L23,PM48_08,8,-8.274,PM48_08_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_08.pdbqt
4L23,PM48_08,9,-8.172,PM48_08_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08/mode_09.pdbqt
4L23,PM48_09,1,-8.267,PM48_09_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_01.pdbqt
4L23,PM48_09,2,-8.03,PM48_09_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_02.pdbqt
4L23,PM48_09,3,-7.392,PM48_09_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_03.pdbqt
4L23,PM48_09,4,-7.229,PM48_09_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_04.pdbqt
4L23,PM48_09,5,-7.21,PM48_09_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_05.pdbqt
4L23,PM48_09,6,-7.023,PM48_09_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_06.pdbqt
4L23,PM48_09,7,-7.022,PM48_09_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_07.pdbqt
4L23,PM48_09,8,-6.711,PM48_09_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_08.pdbqt
4L23,PM48_09,9,-6.657,PM48_09_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09/mode_09.pdbqt
4L23,PM48_10,1,-9.548,PM48_10_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_01.pdbqt
4L23,PM48_10,2,-9.001,PM48_10_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_02.pdbqt
4L23,PM48_10,3,-7.935,PM48_10_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_03.pdbqt
4L23,PM48_10,4,-7.787,PM48_10_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_04.pdbqt
4L23,PM48_10,5,-7.752,PM48_10_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_05.pdbqt
4L23,PM48_10,6,-7.389,PM48_10_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_06.pdbqt
4L23,PM48_10,7,-7.347,PM48_10_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_07.pdbqt
4L23,PM48_10,8,-7.138,PM48_10_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_08.pdbqt
4L23,PM48_10,9,-6.648,PM48_10_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10/mode_09.pdbqt
4L23,PM48_11,1,-9.283,PM48_11_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_01.pdbqt
4L23,PM48_11,2,-8.985,PM48_11_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_02.pdbqt
4L23,PM48_11,3,-8.973,PM48_11_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_03.pdbqt
4L23,PM48_11,4,-8.61,PM48_11_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_04.pdbqt
4L23,PM48_11,5,-8.484,PM48_11_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_05.pdbqt
4L23,PM48_11,6,-8.327,PM48_11_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_06.pdbqt
4L23,PM48_11,7,-8.238,PM48_11_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_07.pdbqt
4L23,PM48_11,8,-8.231,PM48_11_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_08.pdbqt
4L23,PM48_11,9,-8.113,PM48_11_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11/mode_09.pdbqt
4L23,PM48_12,1,-8.329,PM48_12_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_01.pdbqt
4L23,PM48_12,2,-8.312,PM48_12_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_02.pdbqt
4L23,PM48_12,3,-7.599,PM48_12_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_03.pdbqt
4L23,PM48_12,4,-7.33,PM48_12_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_04.pdbqt
4L23,PM48_12,5,-6.951,PM48_12_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_05.pdbqt
4L23,PM48_12,6,-6.917,PM48_12_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_06.pdbqt
4L23,PM48_12,7,-6.886,PM48_12_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_07.pdbqt
4L23,PM48_12,8,-6.817,PM48_12_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_08.pdbqt
4L23,PM48_12,9,-6.812,PM48_12_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12/mode_09.pdbqt
4L23,PM48_13,1,-8.756,PM48_13_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_01.pdbqt
4L23,PM48_13,2,-8.476,PM48_13_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_02.pdbqt
4L23,PM48_13,3,-8.316,PM48_13_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_03.pdbqt
4L23,PM48_13,4,-8.21,PM48_13_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_04.pdbqt
4L23,PM48_13,5,-8.145,PM48_13_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_05.pdbqt
4L23,PM48_13,6,-8.02,PM48_13_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_06.pdbqt
4L23,PM48_13,7,-7.997,PM48_13_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_07.pdbqt
4L23,PM48_13,8,-7.674,PM48_13_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_08.pdbqt
4L23,PM48_13,9,-7.634,PM48_13_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13/mode_09.pdbqt
4L23,PM48_14,1,-8.185,PM48_14_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_01.pdbqt
4L23,PM48_14,2,-8.155,PM48_14_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_02.pdbqt
4L23,PM48_14,3,-7.399,PM48_14_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_03.pdbqt
4L23,PM48_14,4,-7.289,PM48_14_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_04.pdbqt
4L23,PM48_14,5,-7.274,PM48_14_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_05.pdbqt
4L23,PM48_14,6,-7.035,PM48_14_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_06.pdbqt
4L23,PM48_14,7,-7.002,PM48_14_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_07.pdbqt
4L23,PM48_14,8,-6.964,PM48_14_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_08.pdbqt
4L23,PM48_14,9,-6.856,PM48_14_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14/mode_09.pdbqt
4L23,PM48_15,1,-8.07,PM48_15_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_01.pdbqt
4L23,PM48_15,2,-7.523,PM48_15_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_02.pdbqt
4L23,PM48_15,3,-7.394,PM48_15_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_03.pdbqt
4L23,PM48_15,4,-7.381,PM48_15_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_04.pdbqt
4L23,PM48_15,5,-7.269,PM48_15_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_05.pdbqt
4L23,PM48_15,6,-7.182,PM48_15_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_06.pdbqt
4L23,PM48_15,7,-6.971,PM48_15_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_07.pdbqt
4L23,PM48_15,8,-6.954,PM48_15_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_08.pdbqt
4L23,PM48_15,9,-6.658,PM48_15_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15/mode_09.pdbqt
4L23,PM48_16,1,-8.644,PM48_16_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_01.pdbqt
4L23,PM48_16,2,-7.44,PM48_16_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_02.pdbqt
4L23,PM48_16,3,-7.291,PM48_16_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_03.pdbqt
4L23,PM48_16,4,-7.17,PM48_16_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_04.pdbqt
4L23,PM48_16,5,-6.967,PM48_16_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_05.pdbqt
4L23,PM48_16,6,-6.925,PM48_16_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_06.pdbqt
4L23,PM48_16,7,-6.878,PM48_16_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_07.pdbqt
4L23,PM48_16,8,-6.873,PM48_16_mode8,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_08.pdbqt
4L23,PM48_16,9,-6.848,PM48_16_mode9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16/mode_09.pdbqt
4L23,PM48_17,1,-7.882,PM48_17_mode1,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_01.pdbqt
4L23,PM48_17,2,-7.682,PM48_17_mode2,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_02.pdbqt
4L23,PM48_17,3,-7.58,PM48_17_mode3,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_03.pdbqt
4L23,PM48_17,4,-7.508,PM48_17_mode4,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_04.pdbqt
4L23,PM48_17,5,-7.474,PM48_17_mode5,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_05.pdbqt
4L23,PM48_17,6,-7.443,PM48_17_mode6,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_06.pdbqt
4L23,PM48_17,7,-7.369,PM48_17_mode7,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17/mode_07.pdbqt
