panel_id,target,mode,vina_score,seed,exhaustiveness
PM48_01,4L23,1,-9.237,20260727,16
PM48_01,4L23,2,-9.12,20260727,16
PM48_01,4L23,3,-8.812,20260727,16
PM48_01,4L23,4,-8.57,20260727,16
PM48_01,4L23,5,-8.326,20260727,16
PM48_01,4L23,6,-8.292,20260727,16
PM48_01,4L23,7,-8.263,20260727,16
PM48_01,4L23,8,-8.229,20260727,16
PM48_01,4L23,9,-7.805,20260727,16
PM48_02,4L23,1,-9.18,20260727,16
PM48_02,4L23,2,-9.063,20260727,16
PM48_02,4L23,3,-8.928,20260727,16
PM48_02,4L23,4,-8.835,20260727,16
PM48_02,4L23,5,-8.681,20260727,16
PM48_02,4L23,6,-8.634,20260727,16
PM48_02,4L23,7,-8.624,20260727,16
PM48_02,4L23,8,-8.581,20260727,16
PM48_02,4L23,9,-8.533,20260727,16
PM48_03,4L23,1,-7.506,20260727,16
PM48_03,4L23,2,-7.481,20260727,16
PM48_03,4L23,3,-7.417,20260727,16
PM48_03,4L23,4,-7.413,20260727,16
PM48_03,4L23,5,-7.22,20260727,16
PM48_03,4L23,6,-7.124,20260727,16
PM48_03,4L23,7,-7.057,20260727,16
PM48_03,4L23,8,-6.817,20260727,16
PM48_03,4L23,9,-6.816,20260727,16
PM48_04,4L23,1,-9.215,20260727,16
PM48_04,4L23,2,-8.826,20260727,16
PM48_04,4L23,3,-8.756,20260727,16
PM48_04,4L23,4,-7.992,20260727,16
PM48_04,4L23,5,-7.814,20260727,16
PM48_04,4L23,6,-7.776,20260727,16
PM48_04,4L23,7,-7.71,20260727,16
PM48_04,4L23,8,-7.586,20260727,16
PM48_04,4L23,9,-7.107,20260727,16
PM48_05,4L23,1,-8.855,20260727,16
PM48_05,4L23,2,-8.83,20260727,16
PM48_05,4L23,3,-8.793,20260727,16
PM48_05,4L23,4,-8.583,20260727,16
PM48_05,4L23,5,-8.572,20260727,16
PM48_05,4L23,6,-8.429,20260727,16
PM48_05,4L23,7,-8.364,20260727,16
PM48_05,4L23,8,-8.244,20260727,16
PM48_05,4L23,9,-8.193,20260727,16
PM48_06,4L23,1,-7.926,20260727,16
PM48_06,4L23,2,-7.859,20260727,16
PM48_06,4L23,3,-7.429,20260727,16
PM48_06,4L23,4,-6.943,20260727,16
PM48_06,4L23,5,-6.889,20260727,16
PM48_06,4L23,6,-6.764,20260727,16
PM48_06,4L23,7,-6.496,20260727,16
PM48_06,4L23,8,-6.45,20260727,16
PM48_06,4L23,9,-6.241,20260727,16
PM48_07,4L23,1,-9.136,20260727,16
PM48_07,4L23,2,-9.012,20260727,16
PM48_07,4L23,3,-8.737,20260727,16
